FileName,Content
2017-01-07_23-02-14_UTC.txt,Loving the new @adidasTennis Melbourne Line outfit!
2017-01-14_05-10-08_UTC.txt,One of the nicest places to relax in between my 🎾sessions @CrownResorts Crystal Club🙆 #CrownMelbourne #AusOpen
2017-01-19_00-18-46_UTC.txt,"Always lucky to spend my birthday in Australia 🇦🇺 Thank you for the singing 🎶, the cakes 🎂 & the nice wishes ❤ You're the best #TeamAngie"
2017-01-21_02-34-40_UTC.txt,Focussing on #MyGame. Happy to be in the 4th round #AusOpen 💫Thank you for your support ❤#TeamAngie 📸 @besolomon
2017-01-23_15-49-52_UTC.txt,"Bye, bye Australia 🇦🇺 See you next year 😘 On my way home #ThaiAirways ✈️"
2017-01-29_15-23-27_UTC.txt,Sunday workout 😍✌ #teamangie
2017-01-30_13-40-40_UTC.txt,❤🎾👩#AngieXbareMinerals @bareMinerals_DE #ad
2017-01-30_16-10-41_UTC.txt,German beach days in January are like... ❄🙈😄#happymonday
2017-02-13_12-27-57_UTC.txt,When your sister gets you ready 👩‍❤️‍👩#AngieXbareMinerals @bareMinerals_de @jessica.kerber #ad
2017-02-13_19-18-52_UTC.txt,Good evening from #Doha 💫💃! Players Gala #QatarTotalOpen
2017-03-03_17-46-50_UTC.txt,Last workout session before flying out to 🇺🇸 tomorrow!  #BNPPO17 #TeamAngie
2017-03-06_22-49-45_UTC.txt,Good to be back at one of my favorite tournaments #BNPPO17 #TeamAngie
2017-03-09_00-24-35_UTC.txt,This is to all the inspiring women doing their best everyday ❤! Happy #InternationalWomensDay 🎉
2017-03-11_01-42-12_UTC.txt,"Spent a special afternoon yesterday with these bright ladies @chrissieevert & @garbimuguruza- exchanging views, experiences & memories! #Rolex"
2017-03-12_21-20-48_UTC.txt,Competition Mode 🙌🏻🏜 #BNPPO17 #MyGame
2017-03-17_04-03-17_UTC.txt,When in Southern California ❄️🏔 #nofilter
2017-03-22_13-58-59_UTC.txt,Great win last night @MiamiHEAT! Love my new jersey 🔥🏀 #LetsGoHeat 📸 Picture Alliance
