FileName,Content
2017-01-14_01-43-55_UTC.txt,Thank you @jaguaraustralia and @jaguarjapan for helping me with a car in Australia!
2017-01-14_01-59-24_UTC.txt,Like the old days at @imgatennis @tommyhaasofficial !
2017-01-17_01-59-05_UTC.txt,Very grateful to stay at the @crownresorts Malbourne during the Australian Open. Home away from home.
2017-01-20_12-03-30_UTC.txt,Happy with the win. On to the second week! ✌🏼
2017-02-15_05-31-39_UTC.txt,Good times in Buenos Aires #puentedelamujer @argentinaopenatp
2017-02-16_04-16-24_UTC.txt,Good start in BA 🇦🇷!
2017-02-16_04-17-52_UTC.txt,Look who I ran into tonight? Emiliano Massa! We won French Open Juniors together. Great to see him again!
2017-02-16_15-31-58_UTC.txt,Look what is driving around in @newyorkcity!  Will play @delpotrojuan in the @WorldTennisDay in March. Excited!!! #MSG
2017-02-19_00-04-31_UTC.txt,Dante and I received a very nice gift today from the @CARPOfficial at the @ArgentinaOpen. Pretty cool!
2017-02-28_21-21-24_UTC.txt,Excited for World Tennis Day at @thegarden @worldtennisday
2017-03-03_19-16-18_UTC.txt,How cool is this! Just received a very nice gift from @nike Japan. Self-lacing shoes. So nice!!!
2017-03-03_22-32-59_UTC.txt,Nice practice with @eliasymer. Getting ready for IW and Miami! @imgatennis #imgfam
2017-03-07_03-43-53_UTC.txt,Great night at @thegarden! 🇯🇵
2017-03-23_02-44-42_UTC.txt,Great event last night at the @jwmarriottmarquismiami with @garbimuguruza and @lindonk
2017-03-26_21-30-16_UTC.txt,Happy birthday #AirMax! #VaporMax @nike #nikejapan
2017-04-08_02-26-07_UTC.txt,Switching from white to blue. Thank you @jaguar 👈🏻
2017-05-11_16-58-07_UTC.txt,"#Vamos ・・・ How to earn a point, by @keinishikori. . #madrid #atpworldtour #atp #kei #nishikori #mutuamadridopen #tennis #tennistv"
2017-05-30_16-50-50_UTC.txt,My home in Paris @princedegallesparis #princedegallesparis #LovePDG
2017-06-01_16-27-31_UTC.txt,Very thankful to @jaguar and @jaguar_france to help me again this year for car in Paris! About to arrive to @princedegallesparis after the match! Happy with the win today! #allez
2017-06-04_19-24-44_UTC.txt,"We keep fighting, we keep working! #allez"
2017-06-08_07-45-47_UTC.txt,Had a great dinner at #restaurantlascene lastnight! 👌🏻
2017-06-08_07-47-42_UTC.txt,My home in Paris! Thank you and see you next year @princedegallesparis #lovepdg  #princedegallesparis
2017-06-08_07-56-35_UTC.txt,Tough quarters battle! Thank you France for the support. See you next year 🎌 🎾#rg2017
2017-06-26_19-11-04_UTC.txt,#Repost @jaguarjapan (@get_repost) ・・・ 二人の @KeiNishikori が、#FPACE と #FTYPE でカーチェイスを繰り広げる。その果てに見たものとは。「変化を好むか、恐れるか。決めるのは、自分自身だ。」CM全篇視聴はプロフィールのリンクから。#Jaguar #ジャガー #KeiNishikori #錦織圭 #InstaCar #CarsWithoutLimits
2017-06-29_12-11-45_UTC.txt,Hello Wimby 🌱!
2017-07-21_03-54-48_UTC.txt,Met @nba & @cavs star @kyrieirving! Welcome to Japan 🇯🇵! Enjoy it 🏀
2017-07-21_13-14-13_UTC.txt,"Thank you @japanairlines_jal! See you later Japan, off to the US to train. #vamos"
2017-07-22_19-16-09_UTC.txt,🏃🏻
2017-09-29_13-40-23_UTC.txt,Big thanks to Isabelle from @jaguarbelux and @jaguar for loaning me a car here in Belgium. Very much appreciated!!! 😉
2017-10-12_12-05-50_UTC.txt,My daily therapy with Sam. Many hours every day #workinghard
2017-10-29_13-47-59_UTC.txt,#Repost @lindonk 😂🇯🇵✈️👏🏻 When you land in @jfkairport and @keinishikori welcomes you!!! @japanairlines_jal
2017-11-06_16-07-54_UTC.txt,back in Florida! ☀️✌🏻 @imgatennis
2017-11-18_16-14-47_UTC.txt,Great hitting last couple of days. Happy with the progress so far. #HardWork @imgacademy More videos at www.keisapp.com
2017-11-20_22-53-46_UTC.txt,Visiting @nike HQ today.  Talking about my 2018 shoes. #Inspiring
2017-11-20_22-54-58_UTC.txt,Seeing a history of @jumpman23 shoes. Very cool. #AirKei @nike
2017-11-21_22-44-29_UTC.txt,‪I know that guy!!! #SelfieWithKei‬ @japanairlines_jal
2017-11-23_00-38-25_UTC.txt,Great to spend some time with the @uniqlo team to discuss the 2018 wear.
2017-11-23_02-19-33_UTC.txt,Hello @uniqlo!!!!
2017-11-24_04-31-07_UTC.txt,"Great to see Mr. Morita today.  Very thankful to all his help, support and advice over all the years."
2017-11-26_01-42-06_UTC.txt,‪Great day yesterday in Ariake!  Nice to see so much love for tennis!‬
2017-11-28_07-02-27_UTC.txt,Working with the team of Nissin on a new campaign for 2018! #HungryToWin
2017-11-29_02-51-49_UTC.txt,Today marks a 1000 days until the @tokyo2020 Paralympics!
2017-12-12_22-59-54_UTC.txt,Thank you @jaguar for helping me while at Michael’s for training!  Appreciate so much being part of your family. Now leaving for Florida for more training.
2017-12-16_02-54-49_UTC.txt,Great day with Ron from Wilson.  We tested several new strings today.  Very productive.
2017-12-25_16-33-49_UTC.txt,Busy Christmas 🎄 morning practice today at the @imgacademy!! Happy holidays everyone.
2017-12-28_18-51-01_UTC.txt,I think Dante and Olli feel out of shape after Christmas 🎄 🤔😀💪 Come on guys!!! @coachjustinruss be tough on them👍💪😂 @dantebottini @lindonk
2017-12-28_19-37-42_UTC.txt,Good week!  #progress
2017-12-28_19-38-16_UTC.txt,Hard work today with Dante
2017-12-29_16-42-07_UTC.txt,Birthday practice:)
2017-12-30_02-06-03_UTC.txt,Great birthday dinner at @it.srq tonight.  Back to practice tomorrow.
2018-01-17_23-32-15_UTC.txt,We have arrived!!!
2018-01-23_02-53-34_UTC.txt,Last practice before match tomorrow.
2018-01-26_23-15-49_UTC.txt,First practice in Dallas.  Just arrived.
2018-01-27_19-24-19_UTC.txt,Very good practice with @johnrisner today. Very nice of him to come hit. #heightdifference #CanIHaveThatServe
2018-02-01_12-51-25_UTC.txt,It was a really tough match last night. I started a bit slow. I was missing so many first serves and that cost me the set. I started coming back and playing much better in the second set and the last few games were almost perfect. I'm happy to finish like that. I got some rhythm at the end and some free points on my serve and that helped me a little bit. It has been fun on the court and this is good for my confidence. I hope I can have a couple more matches here.
2018-02-02_03-33-10_UTC.txt,Nice video from matchpoint. Very happy with another win. All these matches help me raise my level step by step. On to the next match. Www.keisapp.com
2018-02-02_04-26-35_UTC.txt,On the run....
2018-02-04_05-55-39_UTC.txt,👍
2018-02-04_09-17-15_UTC.txt,Good week!
2018-02-10_19-23-24_UTC.txt,Hello @nyopentennis !!!
2018-02-13_17-41-00_UTC.txt,‪Just finished my morning practice.  Hope to see you tonight for the match at the @nyopentennis
2018-02-15_17-09-49_UTC.txt,My strong flexible coaching team 🤔🤣
2018-02-21_19-39-16_UTC.txt,Look what arrived in Bradenton today??? Thank you @nike @jumpman23 @justintimberlake!!!! #SBLLII Very Cool!
2018-02-24_22-58-27_UTC.txt,@abiertomexicanodetenis www.keisapp.com
2018-03-27_15-04-31_UTC.txt,Thank you @jwmarriottmarquismiami for a fantastic stay!  Look forward to seeing you again next time I am in miami
2018-03-30_16-25-55_UTC.txt,Working hard at @imgacademy with @miomirk today
2018-03-31_18-08-18_UTC.txt,Solid practice today with @the_kokk1.  Btw....those ☁️ 🌧 🙀
2018-04-01_03-27-20_UTC.txt,#keisapp
2018-04-03_14-52-50_UTC.txt,Grinding on the clay with @michaelmmoh this morning.
2018-04-05_14-55-41_UTC.txt,Early practice today #TeamKei #WhereIsNakao #ClayNishikori
2018-04-11_07-59-42_UTC.txt,@jaguar @jaguarjapan
2018-04-20_17-25-51_UTC.txt,Very happy with win today! 👍👊 #Keisapp
2018-04-21_16-51-38_UTC.txt,‪Sliding into Sunday!!! Amazing battle today.  Happy with the win. ‬
2018-04-22_23-08-40_UTC.txt,Thank you @rolexmontecarlomasters for a great week
2018-04-30_11-20-45_UTC.txt,Helllllooo @uniqlo_es!  This Barcelona store is amazing. First time in this store for me.
2018-04-30_11-35-59_UTC.txt,The Uniqlo building in Barcelona is amazing! Right in the center of town
2018-05-10_14-15-38_UTC.txt,Hello Rome!!!!
2018-05-22_09-29-02_UTC.txt,First hit at @rolandgarros
2018-05-28_20-11-45_UTC.txt,So much 🌧 🌧 now.....relaxing in the @princedegallesparis tonight.  #lovepdg.  Tomorrow practice planned early.  Preparing for match on Wednesday. @rolandgarros #frenchopen #princedegallesparis
2018-05-30_20-18-02_UTC.txt,‪Very tough match today against Benoit. Very happy with the win. Now back at the @princedegallesparis to relax.  Best service in Paris! #Lovepdg ‬#princedegallesparis
2018-06-01_14-50-17_UTC.txt,Only at @rolandgarros! 🎨👍❤️
2018-06-05_10-07-13_UTC.txt,‪A big thanks to @jaguar_france for the amazing support again!  It really helps myself and #TeamKei. Thank you! 👍👊. And of course Jean Marc....always with us in Paris!!!!‬
2018-06-24_10-03-22_UTC.txt,Canal ride in Amsterdam on off day!
2018-06-24_14-56-24_UTC.txt,Let’s go 🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵
2018-06-25_08-14-56_UTC.txt,Visit to @vangoghmuseum this morning
2018-07-02_18-51-36_UTC.txt,🇯🇵🇯🇵🇯🇵🇯🇵
2018-07-09_18-29-18_UTC.txt,Quarter final!
2018-07-12_18-35-37_UTC.txt,ありがとう @japanairlines_jal
2018-07-18_15-49-32_UTC.txt,Excited about this weekend!  Will you be there? https://changtennis.com/exhibition
2018-07-20_20-24-56_UTC.txt,Hello @flylaxairport!  Thank you @japanairlines_jal
2018-07-25_03-27-33_UTC.txt,“Serious” treatment:):)
2018-07-25_20-31-35_UTC.txt,‪Leaving California.  Thank you @jaguar for always helping with a car. ‬ ‪Florida here we come!!!!!‬
2018-07-26_17-23-21_UTC.txt,Lot of happy kids out there watching today! Of course we had to all take a picture
2018-07-26_17-24-47_UTC.txt,Hot and humid here today.  Working hard @imgatennis. Look forward to @citiopen next week.
2018-07-28_15-38-35_UTC.txt,First practice at the @citiopen with @alexzverev123 Excited to be here. @atpworldtour
2018-07-29_19-32-51_UTC.txt,Good practice with @hyeon519 today. #AsianTennis
2018-08-02_03-17-02_UTC.txt,When it rains at the @citiopen 🙏😎😳🌨☔️💦
2018-08-19_15-57-45_UTC.txt,Sunday practice!
2018-08-24_23-32-43_UTC.txt,My home in New York @thekitanohotelnewyork 🗽
2018-08-27_23-00-01_UTC.txt,Fun to meet @eneskanter11 from the @nyknicks today. I think he is a little taller then me🤔🏀
2018-09-04_01-08-10_UTC.txt,試合後にWOWOWでみんなでなおみちゃんの応援してました！ Go Japan!! 🇯🇵🇯🇵 www.keisapp.com
2018-09-05_23-57-49_UTC.txt,‪Very proud of today’s match.  Was a huge battle! Go 🇯🇵! 👍 www.keisapp.com‬
2018-09-09_00-02-44_UTC.txt,👍💪👊 @naomiosakatennis 🇯🇵🇯🇵🇯🇵🇯🇵💪💪💪💪👍👍👍👍👊👊👊👊🏆🏆🏆🏆🏆🏆🏆🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵 #proud #history
2018-09-16_15-18-19_UTC.txt,First practice at @moselleopen. More video’s at www.keisapp.com. @atpworldtour
2018-09-17_14-11-17_UTC.txt,Interesting spectator at practice here @moselleopen 🤔😂🇫🇷 @atpworldtour #waitforit
2018-09-29_00-28-35_UTC.txt,私の日本に対する想いから着想を得たデザインの「ナイキ エア ズーム ヴェイパー X LTR QS」が発売されました！#ナイキ #justdoit #niketennisshoes
2018-10-02_01-45-48_UTC.txt,Last night @rakutenopen reception 👍
2018-10-02_02-20-11_UTC.txt,盛田さんとはいつも特別な想いで会います。盛田さんのお陰で、自分が小さいときにプロテニス選手になる夢をもって @imgacademy に旅立てたからです。 #thankful #vision
2018-10-02_05-58-00_UTC.txt,❤️❤️🇯🇵🇯🇵
2018-10-02_08-25-30_UTC.txt,"“Limits, like fears, are often just an illusion” #NikeFootwear"
2018-10-03_09-30-03_UTC.txt,Very nice to meet @hulkhulkenberg today at the @rakutenopen. He is in 🇯🇵 for the 🏎🏎🏎 @f1
2018-10-04_05-36-15_UTC.txt,Practice day @rakutenopen
2018-10-06_09-48-58_UTC.txt,👍
2018-10-07_09-26-51_UTC.txt,今日は優勝できなくてごめんなさい。今日のダニルはプレーがすごく良かったです。 でも僕もいいレベルでテニスができているので、しっかりと残りのシーズン頑張て戦います❗ これからも応援宜しくお願い致します
2018-10-08_00-05-51_UTC.txt,Early morning workout! #hardworkpaysoff #lonelyingym
2018-10-08_01-40-53_UTC.txt,🇯🇵🛫👍#JetKei on way to Shanghai with the team. 🙏🙏🙏🙏 @japanairlines_jal
2018-10-08_05-41-27_UTC.txt,🙏 @japanairlines_jal
2018-10-19_15-30-04_UTC.txt,Hello Vienna
2018-10-27_15-10-34_UTC.txt,💪💪💪
2018-10-28_18-19-16_UTC.txt,Thank you Vienna for a great week
2018-11-02_14-17-42_UTC.txt,Morning warmup! @princedegallesparis #lovePDG #princedegallesparis
2018-11-09_19-50-58_UTC.txt,#selfie
2018-11-09_22-07-58_UTC.txt,‪A quick thanks to @theory__! Thanks for dressing me for tonight’s event!‬
2018-11-14_14-25-48_UTC.txt,👍
2018-11-22_02-44-32_UTC.txt,‪19 years of rackets!  How great is this?? @wilsontennis
2018-11-22_07-05-55_UTC.txt,#selfie
2018-11-23_00-54-59_UTC.txt,Every shoe tells a story!  In 1995 Michael Jordan wore the Jordan11 in the NBA play-offs. Now they are bringing them back! #aj11concord @jumpman23 👍👍👍👍
2018-11-25_00-42-12_UTC.txt,#dreamtennis 👍👍👍
2018-11-28_04-47-43_UTC.txt,‪Good meeting with @niketokyo today to discuss 2019 and 2020 sneakers.  #JustDoIt ‬
