FileName,Content
2017-01-05_03-07-30_UTC.txt,Making friends in Perth
2017-01-12_20-37-41_UTC.txt,Melbourne 🙌
2017-01-21_02-37-02_UTC.txt,We're starting a boy band #NOTNSYNC @grigordimitrov @tommyhaasofficial @davidfoster
2017-02-18_23-25-47_UTC.txt,Always wanted to take the 🏆 to the top of a 🇨🇭🗻
2017-02-18_23-31-53_UTC.txt,From down under to up high
2017-02-18_23-48-45_UTC.txt,🏆
2017-02-19_19-01-29_UTC.txt,Running wild with @beargrylls
2017-02-20_22-05-21_UTC.txt,Prague 😍 See you again soon for the @lavercup!
2017-03-07_05-15-29_UTC.txt,🕶🌴
2017-03-14_02-25-45_UTC.txt,Practice makes perfect
2017-03-15_06-04-25_UTC.txt,Cruising into the next round 🚗💨
2017-03-18_02-51-03_UTC.txt,"No seriously, we're actually starting a boyband: The one handed #BackhandBoys. We're recruiting! 🎤🎹🎼 @grigordimitrov @tommyhaasofficial @officialdfoster @djokernole See the full video here: https://www.facebook.com/Federer/videos/10155102801319941/"
2017-03-20_00-03-05_UTC.txt,🏆😘
2017-03-20_03-11-09_UTC.txt,Sunday vibes
2017-03-23_02-14-34_UTC.txt,🎧🎼🍾 #moetmoment
2017-03-25_16-46-28_UTC.txt,Time to play
2017-03-25_16-47-37_UTC.txt,Spectator on court
2017-03-25_16-51-27_UTC.txt,👀🦎
2017-04-02_19-33-26_UTC.txt,🐬🍊🏆🏆🏆
2017-04-02_19-56-03_UTC.txt,🍊
2017-04-24_12-50-50_UTC.txt,☄️
2017-04-27_21-17-03_UTC.txt,Always nice visiting @nike HQ. Something's different this time #18
2017-04-29_20-15-04_UTC.txt,#NeedleRF
2017-04-30_06-29-34_UTC.txt,Had an amazing time at Key Arena in Seattle tonight. Playing with @johnrisner was a blast. Thank you to everybody who watched and supported the RF Foundation!
2017-05-02_16-00-06_UTC.txt,😮 #metgala #inemojis
2017-05-02_16-02-07_UTC.txt,🌆 #metgala #inemojis
2017-05-02_16-03-39_UTC.txt,🐍 #metgala #inemojis
2017-05-02_16-05-05_UTC.txt,🐺 #metgala #inemojis
2017-05-02_16-07-09_UTC.txt,🏈 #metgala #inemojis
2017-05-02_16-08-05_UTC.txt,😍 #metgala #inemojis
2017-05-04_05-26-52_UTC.txt,From fashion arena to tennis arena
2017-05-11_14-29-29_UTC.txt,Practice in Dubai 🌴
2017-06-25_15-59-54_UTC.txt,☁️9⃣🏆
2017-07-16_16-01-48_UTC.txt,#19 tastes great #wimbledon
2017-07-30_18-31-13_UTC.txt,🏆🌞
2017-07-30_18-42-00_UTC.txt,🎾❤️
2017-08-09_04-23-05_UTC.txt,🌌🌟🙌🏻 Thanks for the shoutout @coldplay. Wonderful show. Loved every minute of it.
2017-08-13_01-42-04_UTC.txt,Welcome to Instagram @thisisbillgates! Always fun to be with you on the court. Looking forward to playing with you again soon...
2017-08-22_14-35-33_UTC.txt,👀
2017-08-25_20-51-00_UTC.txt,Taking 🎾 to new heights @lavercup with #TeamEurope @marincilic_official @tomasberdych #TeamWorld #JohnMcEnroe @denis.shapovalov & #RodLaver
2017-08-26_23-01-08_UTC.txt,Air RF
2017-08-27_01-31-39_UTC.txt,Empire state of mind 🗽
2017-09-19_12-53-51_UTC.txt,On the move in Prague! #TeamEurope #LaverCup
2017-09-22_06-49-41_UTC.txt,Squad 🕴🏼
2017-09-27_07-57-38_UTC.txt,Had an unforgettable time at the inaugural #LaverCup in Prague.  Team Europe 💪🏼🏆 Can’t wait until the next one.. Chicago 2018!
2017-10-04_05-40-34_UTC.txt,Japan 🇯🇵
2017-10-09_04-32-58_UTC.txt,🏀 in 🇨🇳 Shanghai
2017-10-10_05-12-07_UTC.txt,We all missed @lavercup so much that we had to have a reunion in Shanghai 🇨🇳... @tomasberdych we saved you a seat!
2017-10-15_15-27-34_UTC.txt,"🇨🇳🏆 What a wild week here in Shanghai. Thanks to all the fans, the tournament and staff for making it so special ✌🏻"
2017-10-19_09-56-29_UTC.txt,Congratulations @rafaelnadal on an incredibly successful first year of the @rafanadalacademy . Look forward to coming back soon.
2017-11-10_23-38-17_UTC.txt,Press day at @atpworldtour finals in London 🇬🇧
2017-11-10_23-39-26_UTC.txt,The good ol’ days
2017-12-28_09-02-30_UTC.txt,Nice to meet you #newpal @westernaustralia #rottnestisland #happyquokka
2017-12-29_09-00-57_UTC.txt,Building some team chemistry💪🇨🇭
2018-01-04_16-05-43_UTC.txt,When you realize you're in the finals on Saturday😁😎💥 #hopmancup #switzerland #benderer @belindabencic
2018-01-06_13-59-52_UTC.txt,Does this beat my quokka selfie?!🏆🤔#hopmancup #supporttheswiss #backto2001
2018-01-14_23-14-05_UTC.txt,Getting ready to rumble for the @australianopen
2018-01-14_23-47-26_UTC.txt,Always a blast playing at @australianopen kids day!
2018-01-14_23-55-45_UTC.txt,🐜🕷🇨🇭🕸🔨
2018-01-21_08-08-14_UTC.txt,👀 @australianopen
2018-01-22_22-13-33_UTC.txt,Space tennis 🌌🎾
2018-01-23_08-42-08_UTC.txt,Welcome to Instagram coach! @severinluthi 🤗👌💥 #Goodluck
2018-01-25_00-28-31_UTC.txt,Let's get ready to rumble!! 🎾👀🥊🔥 First match in the bay area! @jack.sock #matchforafrica
2018-01-28_12-22-45_UTC.txt,20🏆❤️#normaniscominghome #20 #ausopen #RF20
2018-01-28_13-31-45_UTC.txt,Love is in the air down under😜🇦🇺#RF20
2018-02-01_05-54-32_UTC.txt,"Thank you Australia for the support, the passion and all the epic memories. Can't wait until next year. #RF20 #ausopen #Norman #readyforsomerest"
2018-02-01_06-05-04_UTC.txt,Thank you to all the amazing fans who greeted me and Norman🏆 back in 🇨🇭
2018-02-16_20-43-11_UTC.txt,A night to remember forever. Thank you to all my fans who have been there for me since the beginning.
2018-02-18_16-16-37_UTC.txt,It has been a week full of highs🔝😉 #squadgoals
2018-02-18_16-50-33_UTC.txt,🏆
2018-02-19_18-54-38_UTC.txt,Could never have been the oldest #1 without my team. Thank you to everyone who has helped me along the way.🙏
2018-02-28_21-36-11_UTC.txt,Honored to be a part of an incredible celebration of sports 👏🏻🤳🏻😊#laureus18
2018-03-06_19-15-46_UTC.txt,Still flying high from last night😉😝! Thanks to everyone who made the #MatchForAfrica a great success!👏
2018-03-13_05-41-21_UTC.txt,On to the next round @bnpparibasopen 🌴
2018-03-15_01-24-18_UTC.txt,Can’t wait to visit #Chicago for the first time next week. What should I do while I am in town?🤔#lavercup
2018-03-17_22-33-00_UTC.txt,Are you ready for Chicago😉💯🔝? @k1ngkyrg1os #LaverCup #TeamEurope
2018-03-19_02-30-50_UTC.txt,"What a battle today. Congrats on a fantastic tournament and match, @delpotrojuan"
2018-03-23_01-16-20_UTC.txt,"Thanks for the great welcome Chicago, can’t wait to be back for the Laver Cup in September. Hope to see you there😉! #Lavercup #windycity @bastianschweinsteiger @scottiepippen @lavercup @k1ngkyrg1os"
2018-04-20_09-51-59_UTC.txt,Thank you for the kind words partner.🎾 @thisisbillgates.  It is an honor to be named by @time
2018-04-23_20-46-54_UTC.txt,"Had time for a safari at South Luangwa today, loved every minute! 🐘🦓🐊🐝🦋🐿🐒🦒"
2018-04-24_17-38-10_UTC.txt,Foundation visit 2018 ⚽️🙂📚☀️#zambia #educationempowers
2018-04-24_20-20-39_UTC.txt,Let’s boogie🕺🏽💃🏼🥁🙃#educationempowers
2018-04-25_18-58-36_UTC.txt,"Thank you, Zambia for all your hospitality and kindness 🇿🇲!🙌👊🏻👋 #educationempowers"
2018-06-11_17-08-27_UTC.txt,So nice to be back on the courts. Excited to play my first match in Stuttgart on Wednesday!🔥😎👍🏻🌱🌱
2018-06-15_17-36-13_UTC.txt,Anyone else excited for the World Cup!?!?🙋🏼‍♂️👍🏻⚽️🏆💥🇨🇭🇨🇭🇨🇭
2018-06-16_20-02-02_UTC.txt,That No.1 feeling
2018-06-30_11-56-43_UTC.txt,Thanks @wimbledon for the cool personalized souvenir. Excited to announce half the proceeds will go towards the @rogerfederer.foundation 👌🔥😎
2018-07-02_22-00-59_UTC.txt,I am excited to announce my new partnership with @uniqlo to commence the next chapter in my career. Nike has been a fantastic partner over the last 20 years which I will always cherish. I look forward to the new adventures coming ahead.
2018-08-15_02-23-14_UTC.txt,MOOD😏
2018-08-18_05-42-32_UTC.txt,☀️Double duty today🌔
2018-08-18_05-59-48_UTC.txt,Great battle tonight Stanimal🤝
2018-08-27_15-03-27_UTC.txt,Had a great time exploring the met!🗽🧐🚕 #heavenlybodies @metmuseum
2018-08-27_21-38-54_UTC.txt,"Selfie time at the Met. Visitor 1,000,001🤳🏻😃🕺"
2018-09-08_19-21-40_UTC.txt,"Proud to be working with @rimowa . I travel a lot, and there's no better way to roll 👝✈️🚌🚗🚵🏻‍♀ #WeNeedARimowji"
2018-09-16_16-17-57_UTC.txt,Laver Cup team moving into the United Center today. Excited to fill this place up! Let’s get it 🔥😎🤛🏻🗣🕺🏆 #TeamEurope  @alexzverev123 @grigordimitrov @djokernole @david__goffin @kyle.edmund  @lavercup
2018-09-18_03-33-23_UTC.txt,"Great night supporting the @thearfoundation, loved my visit to Austin, Texas!"
2018-09-18_04-04-54_UTC.txt,I got a lot of time for this guy! #TennisCreatesFriendships @thearfoundation #andyroddick
2018-09-18_19-07-15_UTC.txt,"After 20 years on tour, it’s great to finally be able to visit Wilson HQ 🎾🔥👌 #windycity #LaverCup"
2018-09-19_17-21-40_UTC.txt,Team Europe Selfie😜🇪🇺#lavercup #chicago #teameurope2018
2018-09-20_00-19-50_UTC.txt,Incredible fan support out here in Chicago💯😍👊🏼#teambonding @lavercup
2018-09-21_03-18-33_UTC.txt,Boys night out #squadgoals #chitown #lavercup
2018-09-24_02-21-49_UTC.txt,IT’S COMING HOME 🇪🇺🏆🔥
2018-09-24_03-35-30_UTC.txt,Back to back 😜😊#geneva #champs
2018-09-24_19-26-33_UTC.txt,🏆🇪🇺🏆
2018-09-24_23-10-23_UTC.txt,Thanks Chicago for an epic week in the windy city! 🇪🇺💙🏆✈️#lavercup
2018-10-05_05-18-56_UTC.txt,Thanks @uniqlo for an incredible experience in Tokyo and Kyoto. Looking forward to many more trips to Japan! 💯🇯🇵
2018-10-10_15-38-13_UTC.txt,Come onnnnnnnnn👊🏼
2018-10-28_17-30-18_UTC.txt,Tonight i’m gonna party like it’s 99 😜🏆🔥🍾🇨🇭🕺
2018-10-28_19-56-49_UTC.txt,"Once a ball boy, always a ball boy.🍕🎾#pizzaparty"
2018-11-13_22-57-15_UTC.txt,Thanks for coming to the tennis. Always great to see you! 👊🏼⚽️🎾 @toni.kr8s
2018-12-19_19-36-28_UTC.txt,🇪🇺🇪🇺🇪🇺
2018-12-27_16-36-01_UTC.txt,Summer☀️tennis🎾Australia🇦🇺=the Pinnacle😎#justanotherdayinwa
2018-12-31_03-42-32_UTC.txt,Who’s ready for new years?!?!?😁🕺🎉💥
2018-12-31_04-54-38_UTC.txt,It was a pleasure meeting 🇦🇺 legend and 7 time WSL champ @stephaniegilmore 🎾x🏄🏼‍♀️
2018-12-31_16-39-22_UTC.txt,Wooohoooooo!!!🥂💥🕺Goodbye 2018➡️ Let’s go 2019!#happynewyear
2019-01-01_14-49-43_UTC.txt,Oh what a night🎾🔥 @serenawilliams
2019-01-04_11-01-57_UTC.txt,📸VIEWS☀️🇦🇺
2019-01-05_14-48-54_UTC.txt,Back to Back🇨🇭#benderer #switzerland @belindabencic
2019-01-05_16-36-56_UTC.txt,Team🇨🇭🏆#selfiegamestrong @hopmancup
2019-01-07_07-26-11_UTC.txt,📍MELBOURNE 🙃
2019-01-11_00-21-46_UTC.txt,Looking ⬅️
2019-01-13_12-17-48_UTC.txt,🎙day @ the 🅰️🅾️🎾
2019-01-17_07-01-54_UTC.txt,Always an honor to see the 🚀 in his 🏠 #rodlaver
2019-02-07_19-32-03_UTC.txt,Heading to Geneva tomorrow with Captain Borg for the countdown to #lavercup ! Hope to see you there!😁🇨🇭🔝🏆
2019-02-10_11-51-44_UTC.txt,GENEVA🔜🇪🇺VS🌎
2019-02-28_12-02-36_UTC.txt,On the way to the match 😤
2019-03-02_19-10-01_UTC.txt,💯 💯💯💯 💯💯💯 💯 💯 💯 💯 💯💯💯 💯 💯 💯 💯 💯💯💯 💯 💯💯💯 💯💯💯 #rf100
2019-03-02_19-34-22_UTC.txt,Thank you to the incredible support in Dubai! 🙌🏼💯🔥🍾#RF100 @atptour
2019-03-02_20-23-36_UTC.txt,👋👋
2019-03-06_06-00-34_UTC.txt,📍Indian Wells🔝
2019-03-14_04-36-25_UTC.txt,🎾SUNSHINE SWING☀️
2019-03-16_22-29-52_UTC.txt,"Sad we couldn’t face off in another epic matchup, but hopefully we have a few more to come. Get better soon Rafa. #Fedal"
2019-03-31_20-02-45_UTC.txt,1️⃣0️⃣1️⃣‼️😁💥
2019-04-04_17-22-59_UTC.txt,Excited to have the UNIQLO team in 🇨🇭!Thanks for the special surprise.😉💥#RF101
2019-04-11_15-48-27_UTC.txt,Good luck @adamscottofficial at the Masters this week!☘️🏌️‍♂️ I will be watching 📺😁
2019-04-15_16-32-54_UTC.txt,📍Clay Court Swing 😉🚨 #timetogrind
2019-04-15_17-47-06_UTC.txt,🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
