FileName,Content
2017-11-13_07-07-03_UTC.txt,Злюка какая😂👌
2018-02-04_07-53-03_UTC.txt,💐😍💃
2018-02-08_16-59-15_UTC.txt,Don’t be to much serious 🤣
2018-02-25_10-09-38_UTC.txt,OMG😍I could watch on this for a long time 😍😍😍
2018-02-25_17-09-41_UTC.txt,"я влюбилась в него😍❤️он просто волшебный ❤️иииии да ,простите за такое количество меня в Инстаграмм 🤣🤭"
2018-03-25_12-07-37_UTC.txt,🤗such an amazing day was yesterday 🤗🔜 ✈️Monaco and Preparation for the clay season
2018-04-24_16-00-00_UTC.txt,"Bad  luck today!!but keep working ,and looking forward for the next start"
2018-04-26_15-42-27_UTC.txt,🌊 🏝 👙🛥
2018-05-06_18-45-38_UTC.txt,✋😭✈️
2018-05-27_15-33-26_UTC.txt,From Paris with love #sabalenka #RolandGarros
2018-06-23_10-39-43_UTC.txt,Bye bye Mallorca👋 next Eastbourne✋
2018-07-01_13-52-35_UTC.txt,So happy with my first Premier final!!hopefully next time I will take tittle!!thanks team that u always by my side!and this result is only your job🙏🙏🙏💪Now it’s Wimbledon🙏🙏🙏
2018-07-09_08-53-53_UTC.txt,🌅🛍🧘‍♀️
2018-08-10_13-14-34_UTC.txt,Thank u @couperogers 👋see u next year💪💪💪
2018-08-14_13-56-10_UTC.txt,Into the next one💪💪💪
2018-08-15_17-34-56_UTC.txt,So happy with my win today💪💪💪thank u everyone for your support 💋
2018-08-17_05-11-03_UTC.txt,Hello quarterfinal @cincytennis
2018-08-18_01-42-19_UTC.txt,@cincytennis Semifinal here I am 💪💪💪😋👋
2018-08-26_00-44-38_UTC.txt,So Happy at the moment😍I will  remember this day for all my life 💪thanks everyone for your support 💋 team...you know everything 🙏💪😍💪 #CTOPENTENNIS @connecticutopen @wickphoto next US OPEN
2018-08-30_18-38-43_UTC.txt,Into the 3rd round 💪💪💪❤️🎾❤️
2018-09-02_03-29-57_UTC.txt,Into the 4th Rd💪🎾❣️🎾🙏
