FileName,Content
2017-01-01_02-56-46_UTC.txt,Thank you 🙏🏼😘
2017-01-02_06-38-23_UTC.txt,Great atmosphere today! Satisfied with a first win of the year💞 #FamEli
2017-01-05_12-38-41_UTC.txt,Priceless ..
2017-01-06_15-35-10_UTC.txt,Thank you @brisbanetennis ! You've been awesome 😈
2017-01-11_23-38-13_UTC.txt,Early start today at @australianopen ☕️
2017-01-11_23-55-34_UTC.txt,🔥🔥AIR ZOOM ULTRA REACT @nikecourt
2017-01-13_08-32-50_UTC.txt,Pre @australianopen party
2017-01-16_08-38-37_UTC.txt,📸 #ElinaSquad
2017-01-17_08-38-22_UTC.txt,‪Thank you @PrahranMarket for this gorgeous basket of goodies 😋‬
2017-01-18_05-22-02_UTC.txt,Round 3 @australianopen ✊🏼
2017-01-21_04-46-45_UTC.txt,⛷🏂🏄🏼‍♀️ @australianopen
2017-01-22_09-08-03_UTC.txt,Having fun playing mixed doubles with Chris! Looking forward to quarterfinal @australianopen
2017-01-23_03-47-03_UTC.txt,#melbourne is the coolest 😎🏙
2017-01-26_09-40-18_UTC.txt,#thankful for all your love #FamEli 💞 #unmatched @nikecourt
2017-01-27_11-24-40_UTC.txt,Melbourne 👋🏼! Thank you @radissonmelbourne for your warm hospitality 😊
2017-01-28_03-42-41_UTC.txt,lil windy but can't complain 🌊☀️🔥
2017-01-29_07-33-32_UTC.txt,"Meet ""101 #Taipei Tower"" 509.2 m (1,671 ft) . 63 elevators 😯 lol #explore 🇹🇼"
2017-01-31_10-09-20_UTC.txt,Last night at @wta_taiwan_open @wta Wearing stunning : @poustovit 👗
2017-02-04_11-55-10_UTC.txt,So amazing to have you guys 💞Appreciate all your support #FamEli @wta @wta_taiwan_open
2017-02-05_07-49-00_UTC.txt,🏆 Thanks @wta_taiwan_open @wta @apg_world for a warm welcome and great accommodation! #FamEli ❤️ Grateful for all your sweet support 💞#5
2017-02-07_08-48-51_UTC.txt,"Home sweet home 🇺🇦 btw it's -12 today ,but who cares #chilly -12 сегодня , но зато дома❤️🇺🇦"
2017-02-08_17-57-03_UTC.txt,When you get stuck with Ukrainians for a week 😱 #myfitnesscoach 😂 @fedcuptennis
2017-02-09_20-59-27_UTC.txt,💃🏼💃🏼💃🏼💃🏼💃🏼 #ukrainiangirls💙💛
2017-02-09_21-02-38_UTC.txt,With love from Ukraine 😘 Dress: @poustovit 👗
2017-02-12_12-50-45_UTC.txt,Perfect weekend for Ukrainian team💙💛 Украина 💪🏼🇺🇦💃🏼 #Победа
2017-02-13_08-22-12_UTC.txt,💪🏼💙💛 #ukraine #teamwork
2017-02-14_06-58-30_UTC.txt,#HappyValentinesDay 💞 #FamEli
2017-02-16_12-40-59_UTC.txt,Love new @poustovit '17-'18 collection and personalized masterpieces 💃🏼🔥
2017-02-25_21-18-25_UTC.txt,So happy with a @wta tittle number 6️⃣ 👊🏼👊🏼👊🏼👊🏼💪🏼 @ddftennis
2017-02-26_14-41-53_UTC.txt,"It was an unforgettable week! Thanks to @ddftennis for the wonderful welcome and a great tournament! 👏  Thanks to my team for finding the right words in the important moments! 💪  Thanks to all of the fans who supported me! I want to hug you all, you've created a fantastic atmosphere at the stadium so I felt like I was playing almost like at home! 💕"
2017-03-05_06-00-49_UTC.txt,Sweet little Sunday
2017-03-06_20-32-08_UTC.txt,So much fun with @wilsontennis team this morning 🙈
2017-03-08_05-35-07_UTC.txt,🎥🎞🎬 @tennischannel
2017-03-09_04-40-36_UTC.txt,Always so much fun at @tasteoftennis Wearing: @poustovit 💋
2017-03-11_01-14-33_UTC.txt,Very happy with my first win at @bnpparibasopen ! Also I appreciate all your support and kind messages over the last couple of months 😘
2017-03-11_19-36-29_UTC.txt,Chillin' with my bro ❤️
2017-03-13_03-16-02_UTC.txt,Happy happy @bnpparibasopen 💪🏼😘
2017-03-13_06-50-36_UTC.txt,Невероятный концерт ! Заряд энергии 🔝😛 This guy is unreal! So special 🇺🇦🎾🇺🇦🎤 #океанэльзы #okeanelzy
2017-03-16_04-32-19_UTC.txt,#tb 📸 @superiorresort
2017-03-17_19-23-37_UTC.txt,Busy day in #Miami 🙋🏼🌴
2017-03-20_13-24-03_UTC.txt,📸 @jan_niche_concept
2017-03-21_13-39-10_UTC.txt,Fun night with a great food 🥙🌮 @tasteoftennis
2017-03-21_17-48-51_UTC.txt,Easy like Sunday morning 🐳
2017-03-28_11-37-34_UTC.txt,#wynwoodwalls 👩🏼‍🎨🎨🖼
2017-03-30_14-57-45_UTC.txt,Just a library
2017-03-31_10-00-47_UTC.txt,🕯Since 1359🙀
2017-04-01_17-40-48_UTC.txt,⚜️👑⚜️
2017-04-02_15-17-01_UTC.txt,Endless #paris ❣️
2017-04-06_15-38-27_UTC.txt,#workforit
2017-04-09_14-39-51_UTC.txt,Keep your face to the sun and you will never see the shadows #sundayvibes
2017-04-11_08-35-59_UTC.txt,Happy to become a new brand ambassador for @ulyssenardinofficial #UlysseNardin #LadyDiver #MarineChronometerLady #SavoirFaire
2017-04-15_10-16-27_UTC.txt,#TrainingDay🏋️‍♀️🤸‍♂️👊💪
2017-04-16_09-33-17_UTC.txt,This photo cost me 250€ 🚨🚔🚓👮🏻👮🏻👮🏻📵 😤🤷🏼‍♀️
2017-04-16_22-58-36_UTC.txt,Parisian team⚡️
2017-04-19_07-30-48_UTC.txt,#tb to #WynwoodWalls 🎨
2017-04-20_17-28-02_UTC.txt,Ready for the official @fedcuptennis dinner ! 🏃🏼‍♀️to join my team🇺🇦
2017-04-21_08-00-30_UTC.txt,Your team 🇺🇦😘 @fedcuptennis
2017-04-23_12-09-16_UTC.txt,🇺🇦💪🏼 #українавперед
2017-04-24_09-12-36_UTC.txt,В Штутгарте была фантастическая атмосфера! Мы боролись до конца! Спасибо всем болельщикам за поддержку и нашей команде за невероятный командный дух! 👯👯
2017-04-24_15-50-28_UTC.txt,Hello 🇹🇷 #istanbul
2017-04-30_17-50-05_UTC.txt,Title #️⃣7️⃣💪🏼🏆 thanks for your support!!! It means the world to me 😘💞 #FamEli @wta @istanbul_cup
2017-05-01_10-32-02_UTC.txt,"Хочу сказать огромное спасибо всем моим украинским болельщикам! 🇺🇦Ваша поддержка и тёплые слова так важны, когда играешь за тысячи километров от дома! Вы всегда придаёте мне дополнительных сил в трудные моменты! 💪#FamEli💕"
2017-05-03_03-23-52_UTC.txt,#tb missing this 👙☀️🌊🔥
2017-05-09_15-19-12_UTC.txt,Thank youuuuuuu @franckprovostparis @franckprovostspain 💇🏼😘
2017-05-12_14-40-50_UTC.txt,‪Ciao Roma 🇮🇹 🍕‬ 🎾 #team
2017-05-14_10-13-16_UTC.txt,"Happy #mothersday to all mums around the world and especially to my beautiful one ♥️ Поздравляю всех мам с праздником, а особенно свою грациозную и неповторимую....♥️ #деньматери"
2017-05-17_19-29-53_UTC.txt,💪🏼🙈 @internazionalibnlditalia
2017-05-21_15-32-48_UTC.txt,Grazie Roma❤️🏆 #8 @internazionalibnlditalia
2017-05-22_13-39-26_UTC.txt,@mikecbryan ‪doesn't have enough trophies 🤣 #114 = #8 ‬
2017-05-24_15-55-26_UTC.txt,So happy and excited to back to @rolandgarros 😊😘
2017-05-27_18-48-20_UTC.txt,#focus 🎾👀 @rolandgarros
2017-05-30_11-13-52_UTC.txt,👋🏼 thanks for your support 😊 see you on Thursday @rolandgarros
2017-06-01_13-38-14_UTC.txt,Into 3rd round @rolandgarros 🙋🏼 #thankful
2017-06-04_11-29-13_UTC.txt,Nice to be back on court after a rain delay. Thanks for your support and hope to see you all tomorrow #FamEli💞🇺🇦
2017-06-08_05-13-50_UTC.txt,Merci @rolandgarros 🙏🏼 Thanks #FamEli💞😘
2017-06-09_20-34-52_UTC.txt,Soooooooo  naughty 😅  #theresamay 🇬🇧
2017-06-12_08-17-54_UTC.txt,Working on my tan lines 😤😤😤😤
2017-06-14_12-35-02_UTC.txt,New member of the team loves grass more then me 🇬🇧🎾
2017-06-21_13-10-13_UTC.txt,Thanks @veritymilligan for the tips and great photos 😊📸
2017-06-23_10-49-54_UTC.txt,Will do everything what is in my power to be 💯 for @wimbledon 💪🏼 #maytheforcebewithme ⚡️😊
2017-06-26_13-08-20_UTC.txt,Light training on this beautiful day @wimbledon
2017-06-27_16-26-13_UTC.txt,Massage for treats 🍖#puppygram
2017-06-28_14-06-55_UTC.txt,Sun is much needed on those rainy days🌊☀️�
2017-06-30_05-38-10_UTC.txt,Last night at @wta Pre-Wimbledon party 🎉 Big thanks to @swarovski for awesome accessories 💃🏼 • @poustovit 👗 • @ulyssenardinofficial
2017-07-01_10-24-21_UTC.txt,Media day @wimbledon 📽📸🎾🔁
2017-07-05_19-04-50_UTC.txt,Everything happens for the first time 😊! 3rd round @wimbledon
2017-07-07_16-58-53_UTC.txt,"@wimbledon second week 👋🏼👋🏼👋🏼 Thanks @nikecourt @nike for new kicks, absolutely love them #airforce Очень рада пройти на вторую неделю @wimbledon🤞🏼✊🏼"
2017-07-08_11-45-24_UTC.txt,Amazing experience @111cryo -90❄️❄️❄️❄️❄️ #recovery @111skin #111cryo
2017-07-12_14-14-33_UTC.txt,backpacking
2017-07-16_15-53-59_UTC.txt,Exploring 🇯🇪
2017-07-19_07-35-37_UTC.txt,👻
2017-07-20_06-21-09_UTC.txt,Very last morning in Odessa with this fella .... #goodbyes 🏡
2017-07-21_06-23-33_UTC.txt,Can't wait to show you the dresses I chose from @poustovit for the upcoming events 💃🏼 #seethrough
2017-07-21_09-00-12_UTC.txt,favorite place @superiorresort
2017-07-23_08-53-09_UTC.txt,Lovely lazy Sunday morning 😘
2017-07-28_07-05-13_UTC.txt,🙏🏼 #blessed 🤗
2017-07-29_12-27-41_UTC.txt,Anyone up for a match ?😁
2017-08-05_15-11-43_UTC.txt,#tb 📸 #ukraine ❤️🇺🇦 #украïна
2017-08-06_17-25-43_UTC.txt,Impressive...
2017-08-07_18-17-20_UTC.txt,Enjoyed media day at @Rogerscupto ! Lots of good questions
2017-08-11_04-41-51_UTC.txt,Great atmosphere @rogerscupto looking forward to see you in quarterfinal #FamEli 😘
2017-08-13_03-07-58_UTC.txt,See you tomorrow 👋🏼 my 5th final of the year 💋
2017-08-13_21-42-42_UTC.txt,W.h.a.t a WEEK 😅🙈😘🏆🏆🏆🏆🏆
2017-08-14_05-44-18_UTC.txt,Treat yourself 😈
2017-08-17_02-58-16_UTC.txt,Love this pic 🔥😈📸
2017-08-19_13-12-51_UTC.txt,🖤
2017-08-21_13-10-51_UTC.txt,#NYC escape 🗽
2017-08-23_10-55-48_UTC.txt,Наш 🇺🇦вдохновляет #ДеньУкраїнськогоПрапора
2017-08-24_17-52-21_UTC.txt,Focused
2017-08-25_12-33-24_UTC.txt,Great to be back in NYC and stay at this wonderful place @ictimessquare #InterContinentalTimesSquare #InterContinentalLife
2017-08-25_17-20-52_UTC.txt,Last night at @tasteoftennis wearing my  lovely @poustovit dress👗🌷🌷🌷🌷
2017-08-26_14-43-55_UTC.txt,"It's been a real pleasure visiting my friends at @marco_bicego store in NYC yesterday. I simply love your jewels guys , your ""unico collection"" is incredible and can't wait to wear some of your jewels on court here at @usopen ! Thanks for the continuous and special support you always give me. #marcobicego #usopen #unicocollection"
2017-08-30_17-52-56_UTC.txt,@usopen 💥 credit : Ash Marshall
2017-08-31_19-44-59_UTC.txt,💥@usopen 👻
2017-09-02_13-47-45_UTC.txt,"С днём рождения ,родная #Одесса ! ♥️ #Odessa"
2017-09-02_23-08-48_UTC.txt,Into the last 16 of @usopen like 💥😈💥
2017-09-03_14-49-44_UTC.txt,I love my new @marco_bicego jewels! Necklace and bracelet set are from new Unico tennis collection and an other bracelet from the Masai collection are the ones I wear during @usopen 👱🏻‍♀️💎 #marcobicego
2017-09-05_20-47-28_UTC.txt,"Time to leave #NYC🇺🇸 ! Heading back home only with priceless moments and memories 💥✨✨✨ Let's see , what's next?!"
2017-09-09_12-28-15_UTC.txt,lil getaway w/ 🤴🏻
2017-09-11_04-36-45_UTC.txt,"So happy 😊 Thanks to all my fans #FamEli for your warm words. Your support motivates me to reach new heights 💞  Дуже щаслива піднятися на нову сходинку своєї кар'єри. Спасибі всім моїм вболівальникам #FamEli💞 за теплі слова, які мотивують мене і додають сил! Цей неймовірний сезон триває, рухаємося далі!👊🏼🇺🇦"
