FileName,Content
2017-01-08_03-47-08_UTC.txt,Sunday morning posing with trophy🏆😘
2017-01-08_11-07-14_UTC.txt,"Excited to announce my new official website! Its still only in czech language but english coming soon..moje nova webova stranka,tak doporucuju se podivat!😅 www.karolina-pliskova.com"
2017-01-12_10-36-31_UTC.txt,🤗👬👫🎾🇦🇺
2017-01-25_09-21-53_UTC.txt,Melbourne🙋❤
2017-01-25_12-15-28_UTC.txt,"Enjoyed our time in Australia,now time to go back home🤓😍"
2017-01-29_15-20-56_UTC.txt,Sunday lunch💙 #monaco
2017-02-03_20-53-01_UTC.txt,Uz jedem rychle to fot!!!😅⛸❣️
2017-02-04_21-29-46_UTC.txt,❤❣️🐥
2017-02-09_20-40-31_UTC.txt,Dinner in Ostrava👗👸 @ceskasportovni @sportpics.cz 📸 @lebik
2017-02-14_13-14-51_UTC.txt,Muj Valentyn❤
2017-02-18_21-23-37_UTC.txt,Doha🏆❤�
2017-02-22_13-09-00_UTC.txt,Not the best in Dubai..now few days off🤷‍♀️🤓
2017-02-27_18-06-59_UTC.txt,Monday🤦‍♀️�
2017-03-03_20-24-40_UTC.txt,Sweet friday🍭
2017-03-18_18-03-50_UTC.txt,Thanks for all your support in Indian Wells🙋😘Miami next✈️
2017-03-20_17-37-00_UTC.txt,Nejlepsi rano😍☀️ Miami morning☀️
2017-03-31_01-12-02_UTC.txt,🙋 @miamiopen
2017-04-01_13-24-07_UTC.txt,Na vylete 🤗👫❤
2017-04-05_22-23-47_UTC.txt,❤🌳🌚
2017-04-15_19-21-57_UTC.txt,S terezkou👀😘👩‍❤️‍👩 @terezkahrdlickova
2017-04-21_17-14-21_UTC.txt,My new things from @balr are amazing😻 #blackandwhite #balr
2017-05-05_16-26-40_UTC.txt,"Trenujeme v Madridu,zitra zapas🕺practising today In Madrid,match tomorrow🕺💪"
2017-05-15_19-53-06_UTC.txt,Rome🤗
2017-05-20_19-57-49_UTC.txt,Ciao Rome 🙋
2017-05-27_18-25-32_UTC.txt,Charity day in Paris #rolandgarros
2017-05-29_16-01-12_UTC.txt,First win ✔️ #rolandgarros
2017-06-02_07-25-53_UTC.txt,👉 into the next one 👊🇫🇷 #RG17 #StayFocused
2017-06-04_15-37-00_UTC.txt,R16 💪🇫🇷👊🔛💣🎾💯🎯🔥 #rg17
