FileName,Content
2017-01-07_04-00-48_UTC.txt,"Starting the season, how we ended last one🍾🏆 #teamjoki #3inarow #auckland"
2017-01-07_09-16-06_UTC.txt,Sometimes you have to treat yourself😉💋 best ice cream ever! #auckland
2017-01-15_07-00-17_UTC.txt,AO2017
2017-01-21_16-36-22_UTC.txt,"Bye bye Melbourne, not the start of the year I was hoping for. Back home now to prepare and improve  for the next tournaments. #ao2017 #backtowinter #workhard #believe"
2017-01-27_16-42-39_UTC.txt,"Evening gym session, just because it's friyay 💪 #ontheroadagain #stpetersburg"
2017-01-29_14-42-28_UTC.txt,Just a little bit of sightseeing 📸 #stpetersburg
2017-02-01_06-53-20_UTC.txt,Sportvrouw van het jaar @gemeente_westland Thanks voor de gezellige avond!!
2017-02-08_19-15-15_UTC.txt,Enjoying the time with the girls again!! #nedfcteam #fedcup #dinner
2017-02-11_07-51-19_UTC.txt,"Matchday, Lets go💪 #nedfcteam #knltb #fedcup #"
2017-02-11_18-48-33_UTC.txt,Day 1 ended in 1-1. Let's go again tomorrow💪 #nedfcteam #fedcup #fighting
2017-02-23_16-18-17_UTC.txt,Anyone some good suggestions for music?? #stuckintraffic #wegaannognietnaarhuisnoglangeniet
2017-02-24_18-32-52_UTC.txt,Enjoying the day with my bestie❤ @hymkemaurick
2017-02-28_18-17-47_UTC.txt,Nice day of filming and shooting! Can't wait to see the results! Thanks everyone @heldenmagazine @foxsportsnl
2017-03-06_19-51-56_UTC.txt,Nice morning session in Indian wells:) @bnpparibasopen #loveithere
2017-03-11_06-47-59_UTC.txt,"Happy with the win today, but also very happy to see my friend over here!! @guuskoevermans #bnpparibasopen #indianwells #dinner #catchup"
2017-03-13_03-42-41_UTC.txt,"What a day... fought as hard as I could, but it was not enough today. time to get some rest now. #dead #bnpparibasopen #sleepyhead"
2017-03-17_20-51-28_UTC.txt,Good first day of Practise in Miami!! Now time for some recovery. @orangefit.nl #practiceeveryday #gettingready
2017-03-19_22-04-46_UTC.txt,"Sunny afternoon Practise in Miami☀️, need to work just a little bit more on my tan🙈 had some good support from this one too! #miamiopen #gettingready #stillfewmoredaystogo"
2017-04-01_01-40-31_UTC.txt,Love this match! #lookssoeasy #butitsnot #unreal
2017-04-07_22-10-38_UTC.txt,Waiting for a few more hours✈️ bogota next #travelday #flightdelay #lasttournamentbeforegoinghome #nog1keeropladen
2017-04-11_22-43-29_UTC.txt,Second round it is😊 @copawtabogota #bogota #goingformore
2017-04-20_06-53-43_UTC.txt,Volg onze wedstrijden dit weekend via knltb.nl/tennistv #fedcup
2017-04-20_15-27-54_UTC.txt,Fed cup time #nedfcteam #bestteam
2017-04-23_16-38-58_UTC.txt,"Come on!! Great week with the team, 3-1 it is:) #nedfcteam #winners #bestteam #knltb"
2017-04-25_20-02-28_UTC.txt,"Great fight today, but it was not good enough to get the win. Congrats to @svetlanak27 who was the better one in the end. Also happy to announce my new sponsor @mizunoeurope #goodbutnotgoodenough #ptgp2017 #mizuno"
2017-05-07_19-30-28_UTC.txt,Zondag 14 mei om 22.00 op fox Sports! #gewoonkiki #docu #mylife #foxsports
2017-05-08_16-10-40_UTC.txt,Happy birthday to the best mom🎉😘❤ #family #sorrythatimnotthere
2017-05-12_10-28-43_UTC.txt,"Was a good week, but now it's time to say bye bye madrid✋️ #romenext"
2017-05-15_18-29-59_UTC.txt,Beautiful Rome❤
2017-05-16_15-47-32_UTC.txt,First round✅❤#rome #ibi17 #mizuno @mizunoeurope
2017-05-20_19-42-26_UTC.txt,"Ciao Roma😘 had a great week here, thanks for all the support. Off to Nurnberg tomorrow, can't wait to play there again!! #rome #ibi2017 #nürnberg #nürnbergercup17 #seeyousoon"
2017-05-23_05-42-29_UTC.txt,I guess this is my biggest prize of the week😉 @nuernbergercup #goodstartoftheweek
2017-05-24_19-08-56_UTC.txt,🙈🙈🙈
2017-05-26_16-17-59_UTC.txt,Great to be back in the final here! See you tomorrow! @nuernbergercup
2017-05-27_18-31-36_UTC.txt,🏆🏆🏆 thank you @nuernbergercup for the great week again!!!!😍
2017-05-29_17-00-29_UTC.txt,In to the second round😊❤ @rolandgarros
2017-05-30_11-39-48_UTC.txt,Good and fun hit today with @richelhogenkamp92 proud of you!!😘 #rolandgarros #wegaannognietnaarhuis
2017-05-30_13-17-43_UTC.txt,Thanks @mizunoeurope for the shoes😊❤ #kiki🇳🇱 #mizuno #rg2017
2017-06-01_07-00-54_UTC.txt,"After a good few weeks on clay, was this not the result I was hoping for... still a lot to work on. Thanks for all the support guys😘❤ #keeppushing #mizuno #rolandgarros"
2017-06-05_06-58-43_UTC.txt,Home sweet home❤
2017-06-15_19-44-57_UTC.txt,Tomorrow semis with @demischuurs 💪@ricohopen #wieweeteenleukebijnaam
2017-06-16_17-07-49_UTC.txt,"My Friday night, tv sofa and a great gift from @mizunoeurope #niksfeesten #uitrustenvoormorgen #finalstomorrow"
2017-06-18_10-28-36_UTC.txt,"Thanks @demischuurs @ricohopen for this week!:) not the result we wanted, but let's keep on going!💪 off to Mallorca now for a new challenge✈️"
2017-06-29_03-35-28_UTC.txt,"Time to go again, next stop---> wimbledon🌱🍀 @mizunoeurope #neverstoppushing #🇬🇧"
2017-07-04_07-29-46_UTC.txt,Thanks to my new partner #Virtuoossport. The ultimate dope-free sports supplements! #isportclean.com
2017-07-10_16-08-32_UTC.txt,Intervals are killing me and @simonblok94 #dead #keeponpushing #trainingsweek #workinghardtogetbetter
2017-07-14_15-06-07_UTC.txt,Practise with a view😊 happy to be back here in Gstaad #notbad
2017-07-18_15-30-39_UTC.txt,Thanks charly's for this great experience to make some unbelievable chocolates😍😍 #Gstaad #didnteatthemall #trustme @ladiesgstaadopen
2017-07-20_19-35-52_UTC.txt,Really like this picture :) 📷robert Hradil/RvS.Media #gstaad #quarterstmr
