FileName,Content
2017-02-10_21-24-08_UTC.txt,"Hi guys,  It’s been a while since I’ve had an update for you. As you all know, I got a little boo boo in my left foot last summer. Unfortunately, this resulted in foot surgery that will have me sidelined for the next few months. The good news is that surgery was successful and I have already started rehab! Shooting for a summer '17 return! Wish me luck and please root me on, I can't wait to get back on court! I appreciate all of your love, it means the world to me"
2017-04-18_15-24-57_UTC.txt,Day 1 walking.... EXCITED!!!!!!!!!!!!!!
2017-04-26_20-16-38_UTC.txt,slow and steady wins the race.......EXCITED!!!!!!!!!
2017-05-14_16-00-12_UTC.txt,There is no ME without SHE ❤️ #happymothersday
2017-06-18_01-42-05_UTC.txt,"See you soon, @wimbledon 🌱"
2017-06-25_00-26-58_UTC.txt,Summer nights 🕊
2017-07-14_18-42-37_UTC.txt,Casual Friday afternoon 🌺
2017-07-28_01-19-27_UTC.txt,😊
2017-08-17_02-17-52_UTC.txt,Lock in
2017-08-22_23-17-05_UTC.txt,"Coming for you, New York"
2017-08-27_02-38-57_UTC.txt,NYC.
2017-09-01_20-08-09_UTC.txt,MOOD. 💫🇺🇸
2017-09-04_01-50-45_UTC.txt,"New York, New York"
2017-09-05_22-40-39_UTC.txt,➡️➡️➡️ semifinal
2017-09-06_22-23-18_UTC.txt,Playing 1st on Ashe tomorrow at 7pm- hope to see you all out there.... ♥️
2017-09-08_02-31-09_UTC.txt,"Next stop, FINAL 🇺🇸"
2017-09-09_03-16-17_UTC.txt,So happy and privileged to be playing in my first @usopen final tomorrow. I hope to see you all there ♥️🇺🇸
2017-09-09_22-42-19_UTC.txt,2017 US OPEN CHAMPION #GRATEFUL
2017-09-10_23-14-02_UTC.txt,Cloud 9 🕊🏆
2017-09-12_22-01-49_UTC.txt,Friends forever 🦋 @madisonkeys
2017-09-12_23-20-40_UTC.txt,"From the bottom of my heart, thank you everyone for your unconditional support and kindness these last two weeks. I am eternally grateful ♥️♥️♥️"
2017-09-15_20-18-15_UTC.txt,Happy Friday ☀️
2017-09-19_16-38-33_UTC.txt,@sportsillustrated -- thank you 😊 Now it's time to get back to work!
2017-09-20_22-28-22_UTC.txt,Food for thought 💫
2017-09-23_01-08-19_UTC.txt,Mood
2017-09-27_01-22-51_UTC.txt,🌹
2017-10-08_22-18-26_UTC.txt,"Well, now it's a good afternoon, indeed. Hello Autumn 🎃"
2017-10-14_00-17-45_UTC.txt,Cozy Friday night in. Wishing you all a wonderful weekend 🌙
2017-10-21_23-32-20_UTC.txt,A little reminder... 🕊
2017-10-26_20-35-11_UTC.txt,Next stop: Zhuhai
2017-11-05_02-18-33_UTC.txt,🌿👀🌿
2017-11-06_21-55-06_UTC.txt,"My first crush ♥️ happy birthday babe, I love you."
2017-11-22_01-54-58_UTC.txt,There’s no place like home ✨
2017-11-25_00-22-37_UTC.txt,☀️
2017-11-28_18-19-48_UTC.txt,"Hello again, New York 🍎"
2017-12-01_16-26-18_UTC.txt,Good Morning
2017-12-04_02-08-21_UTC.txt,Period.
2017-12-04_03-16-25_UTC.txt,Late night winter nights
2017-12-05_21-27-22_UTC.txt,Catch me on ‘The Year’ airing December 19th at 9pm on @abcnews 🤗
2017-12-10_18-36-42_UTC.txt,🦋🦋🦋
2017-12-14_17-32-19_UTC.txt,Indiana University East Class of 2017 🎓♥️ Made my grandparents proud this morning!
2017-12-22_21-58-31_UTC.txt,selfie break 💁🏾‍♀️
2017-12-30_00-08-27_UTC.txt,"2017 is a wrap! Thank you all so much for sharing this incredible journey with me. This year has been the most challenging, yet most rewarding year of my life. I have experienced the lowest of lows, starting the year unsure of what awaited me after my foot surgery to having the highest of highs and winning the biggest title of my career. This year has proven to me that no matter what the circumstances are in your life, in the end, hard work will pay off. Thank you for not giving up on me ♥️ Looking forward to what’s in store for us in 2018 🚀🚀🚀"
2018-01-03_23-59-24_UTC.txt,I am so excited to share with you all that I have officially joined the @nike @nikecourt family!!! #SecureTheBag
2018-01-22_01-35-49_UTC.txt,Knowledge is power. 📚
2018-01-24_22-05-27_UTC.txt,"Yes, you do. 💕"
2018-01-25_23-51-32_UTC.txt,Thank you @harpersbazaarus for the most magical day! Truly a dream come true 🦋 Photographer: @jakavinsek Styling: @carrielauren Hair: @kellonderyck Makeup: @moanilee Outfit: @dior
2018-01-26_19-21-19_UTC.txt,Walking into the weekend like....
2018-01-28_18-47-54_UTC.txt,Up close & personal. Photographer: @jakavinsek Styling: @carrielauren Hair: @kellonderyck Makeup: @moanilee
2018-02-10_21-40-27_UTC.txt,👆🏾👆🏾👆🏾
2018-02-13_15-11-22_UTC.txt,"I am so proud to be a part of this issue. Thank you @si_swimsuit for being such an amazing platform for women of ALL different body types. This one is for us, ladies ♥️"
2018-02-14_01-38-46_UTC.txt,A R U B A 🌞 #SISwim
2018-02-14_19-56-17_UTC.txt,Happy Valentine’s Day 🌹
2018-02-16_01-11-54_UTC.txt,🌺 #SiSwim
2018-02-17_01-17-35_UTC.txt,A little Caribbean breeze
2018-02-19_01-24-05_UTC.txt,.... is key.
2018-03-12_01-29-13_UTC.txt,RD. 2 ✅ @bnpparibasopen
2018-03-13_23-58-50_UTC.txt,“We’re just going to a little dinner. Dress casual.” Me:
2018-03-14_20-50-37_UTC.txt,chillin
2018-03-19_18-37-35_UTC.txt,Excited to announce that I’m officially on #TeamChocolateMilk! Full-court workouts take a lot out of me so I need a recovery drink that’s got the nutrients to refuel and recover. @builtwithchocolatemilk #RealWorks #ad
2018-03-20_20-10-34_UTC.txt,Celebrating a quarter century today 🎉🎉🎉🎉
2018-03-21_01-07-37_UTC.txt,Versace Versace Versace
2018-03-21_18-29-20_UTC.txt,Twenty-five.
2018-03-21_20-08-25_UTC.txt,Thank you all for the birthday wishes! I see you and I appreciate you!! 🎈♥️
2018-03-22_23-58-06_UTC.txt,Happy to be moving on to the next round @miamiopen 🌞📸: Al Bello
2018-03-25_20-10-31_UTC.txt,☀️🌡🌶
2018-03-27_20-43-28_UTC.txt,SEMIFINAL BOUND.
2018-03-29_22-18-32_UTC.txt,I’m so excited to be in my first @MiamiOpen Final! 📷: @ronangle2
2018-03-31_20-14-20_UTC.txt,2018 MIAMI OPEN CHAMPION 🎉 #securethebag
2018-04-01_00-31-26_UTC.txt,"🏆 in my hometown!!!! Thank you to all of the fans, ball kids, volunteers & sponsors for putting on such a fantastic tournament! Farewell Key Biscayne, you hold a very special spot in my heart 💛💛💛"
2018-04-02_17-31-33_UTC.txt,🌜🌛
2018-04-02_19-32-03_UTC.txt,SQUAD
2018-04-02_23-52-40_UTC.txt,My game wouldn’t be where it is today without proper recovery. My go-to recovery drink that surprises a lot of people is chocolate milk. @builtwithchocolatemilk #RealWorks #ad
2018-04-05_03-42-07_UTC.txt,"When I’m with you, I am home. ♥️"
2018-04-08_02-31-55_UTC.txt,👀
2018-04-08_22-32-59_UTC.txt,"Mixed Doubles warmup. Where should we play next, Shapo? 🤔 @denis.shapovalov"
2018-04-13_23-52-16_UTC.txt,My sweet Mama ❣️
2018-04-15_16-48-47_UTC.txt,clay court szn 🔛
2018-04-18_21-54-20_UTC.txt,Bonne nuit 🌟
2018-04-20_20-16-25_UTC.txt,💫✨
2018-04-22_16-19-41_UTC.txt,U S A !!! We are into the Fed Cup Final!!!!! ❤️❕💙
2018-04-27_16-38-14_UTC.txt,“Knock me down 9 times but I get up 10”
2018-04-28_23-15-41_UTC.txt,💋
2018-05-03_16-54-21_UTC.txt,sporty spice
2018-05-10_16-17-06_UTC.txt,Missing my little pooches ♥️🐾
2018-05-12_15-19-24_UTC.txt,Day by day. #realworks #ad
2018-05-13_17-33-30_UTC.txt,God’s Plan.
2018-05-19_19-16-08_UTC.txt,Steady.
2018-05-27_18-32-47_UTC.txt,Round 1 ☑️
2018-05-31_17-37-35_UTC.txt,Thank you to my fans for all the love in Paris! ♥️ 📷: Susan Mullane
2018-06-03_14-58-28_UTC.txt,Quarterfinals 💫 #FrenchOpen #RG18 📷: Susan Mullane
2018-06-05_18-21-23_UTC.txt,"Earned. Not given. 💪🏾Next stop, Semifinals!!! 🧡#RG18 #FrenchOpen 📷:@aurelienmeunier"
2018-06-07_18-31-17_UTC.txt,"All the feels. 🤩 Next stop, Roland Garros FINALS!!! 📷: @cjspencois #FrenchOpen #RolandGarros"
2018-06-09_20-40-01_UTC.txt,"Not the outcome I wanted today, but grateful for this opportunity to compete in the French Open Finals. I wouldn’t have this smile on my face without all the love and support from my team and fans. My deepest thanks. You win or you learn, but you never lose. ♥️ #FrenchOpen"
2018-06-10_14-56-53_UTC.txt,My two trophies🏆
2018-06-13_18-30-37_UTC.txt,Never underestimate the power of spanx.😜
2018-06-14_23-21-20_UTC.txt,"After a day of good serves, I reward my body with a serving of @builtwithchocolatemilk to recover from a hard-hitting practice. #RealWorks #ad"
2018-06-17_01-24-18_UTC.txt,Ready for grass court szn 💫
2018-06-20_00-29-01_UTC.txt,It takes sunshine & rain to make a rainbow🌈
2018-06-22_19-02-31_UTC.txt,"When I’m off the court, my body’s not off the clock – I help my muscles recover after hard workouts with @builtwithchocolatemilk #RealWorks #ad"
2018-06-26_19-30-06_UTC.txt,When your eyes speak louder than words. #throwback  _ 📷: Sebastian Kim
2018-06-30_16-37-24_UTC.txt,Happy to be back on the 🌱 _ #wimbledon #nikecourt #wta #grasscourt
2018-07-03_21-00-05_UTC.txt,Trials make you stronger. As an athlete you have to recognize when to push ahead and not to dwell. I won’t be dwelling. Onward. #wimbledon
2018-07-06_23-11-07_UTC.txt,Grass SZN isn't over just yet! #Wimbledon 🎾
2018-07-19_05-32-29_UTC.txt,Wow #espys all for me?? So honored to win Best Female Tennis Player Of The Year tonight! 🎾
2018-07-19_20-51-55_UTC.txt,"Last minute outfit swap, but it all worked out! I fell in love with this gorgeous, @alexandermcqueen suit. It felt like a power play! What do you guys think...is red my color? #espys"
2018-07-28_16-28-13_UTC.txt,D.C.!!! We comin!!!
2018-07-29_21-15-51_UTC.txt,Servin' @citiopen
2018-08-01_06-25-43_UTC.txt,"My philosophy is ""The better you feel, the better you compete,"" which is why I choose @builtwithchocolatemilk. It has nutrients I need to refuel, recover and bounce back after putting in work on the court. #RealWorks #Ad."
2018-08-08_22-34-44_UTC.txt,Excited to be on the cover of American Way Magazine 🤩 Catch me on any @americanair flight - I’ll be in your seat back pocket the entire month of August ♥️
2018-08-09_23-13-13_UTC.txt,Quarterfinals ✔ @couperogers
2018-08-11_01-47-52_UTC.txt,Semifinals ✔
2018-08-12_01-10-17_UTC.txt,So excited to be in my first @couperogers final tomorrow!
2018-08-13_01-09-31_UTC.txt,"I played my heart out, left everything out on the court and never gave up. You win or you learn, but you never lose ❤️ #CoupeRogers"
2018-08-13_22-04-25_UTC.txt,Just getting started... @nikecourt @nike @nikesportswear #readytorule
2018-08-18_17-16-58_UTC.txt,Recover first.. Then back to work! NY next 🏙  #RealWorks #ad
2018-08-22_18-55-41_UTC.txt,"NEW YORK, IM BACK 🗽"
2018-08-23_14-25-55_UTC.txt,"✨ bright lights, big city ✨"
2018-08-23_22-45-19_UTC.txt,SWOOSH. @k1ngkyrg1os
2018-08-25_19-48-09_UTC.txt,FOCUS
2018-08-26_19-10-57_UTC.txt,Lock in NYC 🔒#usopen
2018-08-27_23-58-27_UTC.txt,Day 1. Just getting started... #usopen 📸: @ccsnaps13
2018-08-28_15-27-32_UTC.txt,Hope you guys are enjoying the #USOpen!! I left some tickets for this weekend’s match somewhere in New York City…head over to @mercedesbenzusa and find out how to get in on this!
2018-08-28_21-29-51_UTC.txt,"An absolute must, everyday. @biofreeze #mysecretweapon #ad"
2018-08-30_00-07-15_UTC.txt,Keep fighting #usopen 💪🏿 (📸: @ronangle2)
2018-08-31_20-12-18_UTC.txt,Pause for this moment. Next Round. #usopen
2018-09-03_02-27-16_UTC.txt,Quarterfinal feels 💫  #usopen (📸 @ronangle2)
2018-09-07_17-17-39_UTC.txt,"If things don’t work out the way you had hoped, hold your head high and be proud you gave it your all. #usopen"
2018-09-18_23-15-12_UTC.txt,Always ready. The Nike City Ready collection now available at the link in my bio 🏙
2018-09-22_02-37-22_UTC.txt,what a dream ✨ thank you @voguemagazine
2018-09-27_16-40-41_UTC.txt,Keep grinding 💥
2018-10-01_16-02-40_UTC.txt,When they tell you summer’s over 😤
2018-10-09_19-42-26_UTC.txt,Shortly followed by boba and Netflix in bed. Self-care day 🧖🏿‍♀️ #DoTERRA #PerformanceAdvocate
