"date.1","date.2","insta_post","player"
2017-01-07,23-02-14_UTC.txt,"Loving the new @adidasTennis Melbourne Line outfit!"," angiekerber "
2017-01-14,05-10-08_UTC.txt,"One of the nicest places to relax in between my 🎾sessions @CrownResorts Crystal Club🙆 #CrownMelbourne #AusOpen"," angiekerber "
2017-01-19,00-18-46_UTC.txt,"Always lucky to spend my birthday in Australia 🇦🇺 Thank you for the singing 🎶, the cakes 🎂 & the nice wishes ❤ You're the best #TeamAngie"," angiekerber "
2017-01-21,02-34-40_UTC.txt,"Focussing on #MyGame. Happy to be in the 4th round #AusOpen 💫Thank you for your support ❤#TeamAngie 📸 @besolomon"," angiekerber "
2017-01-23,15-49-52_UTC.txt,"Bye, bye Australia 🇦🇺 See you next year 😘 On my way home #ThaiAirways ✈️"," angiekerber "
2017-01-29,15-23-27_UTC.txt,"Sunday workout 😍✌ #teamangie"," angiekerber "
2017-01-30,13-40-40_UTC.txt,"❤🎾👩#AngieXbareMinerals @bareMinerals_DE #ad"," angiekerber "
2017-01-30,16-10-41_UTC.txt,"German beach days in January are like... ❄🙈😄#happymonday"," angiekerber "
2017-02-13,12-27-57_UTC.txt,"When your sister gets you ready 👩‍❤️‍👩#AngieXbareMinerals @bareMinerals_de @jessica.kerber #ad"," angiekerber "
2017-02-13,19-18-52_UTC.txt,"Good evening from #Doha 💫💃! Players Gala #QatarTotalOpen"," angiekerber "
2017-03-03,17-46-50_UTC.txt,"Last workout session before flying out to 🇺🇸 tomorrow!  #BNPPO17 #TeamAngie"," angiekerber "
2017-03-06,22-49-45_UTC.txt,"Good to be back at one of my favorite tournaments #BNPPO17 #TeamAngie"," angiekerber "
2017-03-09,00-24-35_UTC.txt,"This is to all the inspiring women doing their best everyday ❤! Happy #InternationalWomensDay 🎉"," angiekerber "
2017-03-11,01-42-12_UTC.txt,"Spent a special afternoon yesterday with these bright ladies @chrissieevert & @garbimuguruza- exchanging views, experiences & memories! #Rolex"," angiekerber "
2017-03-12,21-20-48_UTC.txt,"Competition Mode 🙌🏻🏜 #BNPPO17 #MyGame"," angiekerber "
2017-03-17,04-03-17_UTC.txt,"When in Southern California ❄️🏔 #nofilter"," angiekerber "
2017-03-22,13-58-59_UTC.txt,"Great win last night @MiamiHEAT! Love my new jersey 🔥🏀 #LetsGoHeat 📸 Picture Alliance"," angiekerber "
2017-03-26,21-39-29_UTC.txt,"Sun protection is one of my on-court essentials ☀🎾 @bareMinerals_de #AngieXbareMinerals #bareMinerals #prepstep #ad"," angiekerber "
2017-04-02,18-44-01_UTC.txt,"How about starting a new tournament week this colorful?! #AbiertoGNPSeguros #Viviresincreíble #Monterrey"," angiekerber "
2017-04-10,00-40-10_UTC.txt,"🇲🇽 ¡gracias! to everyone at the @abiertognpseguros for making this a memorable week!! Amazing fans & people that I got to meet 😘"," angiekerber "
2017-04-10,12-19-25_UTC.txt,"#MondayMotivation #MyGame"," angiekerber "
2017-04-11,07-50-38_UTC.txt,"Finally on my way back home ✈️ #longtrip #happy #jetlagiswaiting"," angiekerber "
2017-04-12,18-47-19_UTC.txt,"Scouting my new teammates 😉@fcbayern #FCBRMA #matchday #packmas"," angiekerber "
2017-04-14,15-01-21_UTC.txt,"Improving my cooking skills #pierogi #polishkitchen #favorite #easterntime 👩🏼🍳🍽"," angiekerber "
2017-04-16,09-04-37_UTC.txt,"Happy Easter 🐣I will spend some time with my family and hope you will do the same 🐰❤"," angiekerber "
2017-04-19,08-37-08_UTC.txt,"Hi there @adidasTennis! Loving the new Roland Garros Collection 😍 #RolandGarros"," angiekerber "
2017-04-20,19-30-33_UTC.txt,"Team Dinner 🇩🇪All dressed up and ready ☺💅👯 #FedCup #GERUKR #WirfuerD"," angiekerber "
2017-04-23,21-29-50_UTC.txt,"Thank you to the whole 🇩🇪 team and fans that supported us at the Fed Cup in Stuttgart!! Look forward to seeing you next week at the @porschetennis Grand Prix 😘! 📸 Paul Zimmer"," angiekerber "
2017-04-24,18-30-07_UTC.txt,"40 years of @porschetennis Grand Prix 🎊 !! Celebrating with the legend & first winner Tracy Austin #showtime"," angiekerber "
2017-04-25,16-26-45_UTC.txt,"Thank you @gala_magazin! Not sure they know how many dresses I tried on 🙈😂"," angiekerber "
2017-05-05,10-56-44_UTC.txt,"Dear #redclay....let's be nice to each other this year 😘"," angiekerber "
2017-05-05,13-26-36_UTC.txt,"👀🎾"," angiekerber "
2017-05-06,09-38-18_UTC.txt,"Enjoy your weekend 🙋 📸 @jimmie48tennis"," angiekerber "
2017-05-12,12-53-54_UTC.txt,"I had a tough week at the #MMOPEN but thanks to all the fans for the support ❤ #TeamAngie"," angiekerber "
2017-05-14,13-31-39_UTC.txt,"Stay humble & keep working hard! See you soon #ibi17 #TeamAngie"," angiekerber "
2017-05-15,14-15-21_UTC.txt,"Ein hübsches Gesicht ist sicherlich nicht alles, aber wenn es ein Makeup gibt, das das Beste aus mir herausholt und dann noch gut für meine Haut ist, bin ich dabei 😍 #AngieXbareMinerals @bareMinerals_DE #ad"," angiekerber "
2017-05-23,16-13-58_UTC.txt,"Paris is just around the corner 🇫🇷 @RolandGarros #RG17 #MyGame"," angiekerber "
2017-05-24,15-49-32_UTC.txt,"À demain, Paris 😘 #RG17 #RoadToParis"," angiekerber "
2017-06-02,16-45-24_UTC.txt,"Difficult roads often lead to beautiful destinations!!!"," angiekerber "
2017-06-08,15-12-18_UTC.txt,"Ich ❤️ die Produkte von bareMinerals und möchte heute meine Lieblinge von bareMinerals an einen von euch verlosen! Dabei ist mein Favorit die ORIGINAL SPF15 Foundation und der dazu passende Pinsel. SkinLongevity ist das Serum, das ich immer auf meinen Reisen bei mir habe und ebenso die Lash Domination Mascara und den Gen Nude Lipgloss in der Farbe Cosmic. Einen signierten Tennisball lege ich auch noch dazu 😉 So macht ihr mit: -> kommentiert unter dem Foto, was für euch natürliche Schönheit bedeutet -> Folgt @bareMinerals_DE Die Verlosung läuft bis zum 12. Juni! Viel Spaß 😘  #AngieXbareMinerals #Verlosung #bareMinerals #TeamAngie #GOBARE  Teilnahmebedingungen: bit.ly/bMTeilnahmebedingungen"," angiekerber "
2017-06-19,17-16-21_UTC.txt,"Danke an die @GerryWeberOpen_official für das geniale Wochenende und an alle Fans, die mit dabei waren. Jedes Jahr wieder ein Riesenspaß 😜!!! #ChampionsTrophy2017 #Halle"," angiekerber "
2017-06-20,08-00-48_UTC.txt,"Not a morning person until there is coffee ☕☀😉"," angiekerber "
