"","loser_name","match_dat","winner_name","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","W_First Service % ","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","L_First Service % ","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","seq","sentiment_mean.winner","sentiment_twitter.winner","sentiment_instagram.winner","sentiment_mean.loser","sentiment_twitter.loser","sentiment_instagram.loser"
"1","Adam Pavlasek",2017-07-06,"Novak Djokovic","2017-540","Wimbledon","Grass",128,"G",2017-07-02,195,104925,"R",188,"SRB",30.1163586585,4,6055,106361,"R",NA,"CZE",22.7351129363,136,415,"6-2 6-2 6-1",5,"R64",93,4,1,0.683333333333333,60,41,33,14,0,1,1,5,4,0.535714285714286,84,45,26,15,0,11,18,96,0.0909090909090909,NA,0.0909090909090909,NA,NA,NA
"2","Adrian Mannarino",2017-03-01,"Dominic Thiem","2017-M004","Acapulco","Hard",32,"A",2017-02-26,291,106233,"R",185,"AUT",23.485284052,9,3375,105173,"L",183,"FRA",28.6652977413,65,766,"7-5 6-3",3,"R16",81,1,1,0.480769230769231,52,25,18,16,10,0,2,3,0,0.647058823529412,68,44,23,12,11,4,9,22,NA,NA,NA,NA,NA,NA
"3","Adrian Mannarino",2017-07-10,"Novak Djokovic","2017-540","Wimbledon","Grass",128,"G",2017-07-02,219,104925,"R",188,"SRB",30.1163586585,4,6055,105173,"L",183,"FRA",29.0102669405,51,896,"6-2 7-6(5) 6-4",5,"R16",133,4,2,0.741935483870968,93,69,49,16,0,1,2,2,1,0.696078431372549,102,71,43,16,0,6,10,120,0.901960784313726,NA,0.901960784313726,NA,NA,NA
"4","Adrian Mannarino",2017-08-17,"Dominic Thiem","2017-M024","Cincinnati Masters","Hard",64,"M",2017-08-13,291,106233,"R",185,"AUT",23.9452429843,8,4030,105173,"L",183,"FRA",29.1252566735,36,1191,"7-6(4) 7-6(3)",3,"R16",121,4,4,0.575,80,46,34,17,12,3,6,2,1,0.619565217391304,92,57,35,16,12,6,9,46,NA,NA,NA,NA,NA,NA
"5","Adrian Mannarino",2017-09-01,"Dominic Thiem","2017-560","Us Open","Hard",128,"G",2017-08-27,203,106233,"R",185,"AUT",23.9835728953,8,4030,105173,"L",183,"FRA",29.1635865845,34,1255,"7-5 6-3 6-4",5,"R32",133,5,1,0.673076923076923,104,70,54,17,0,9,10,0,2,0.617977528089888,89,55,34,19,0,2,6,104,0,0,0,NA,NA,NA
"6","Adrian Mannarino",2017-10-10,"Kevin Anderson","2017-5014","Shanghai Masters","Hard",64,"M",2017-10-08,257,104731,"R",203,"RSA",31.394934976,15,2470,105173,"L",183,"FRA",29.2785763176,29,1570,"6-3 6-1",3,"R64",61,13,0,0.621621621621622,37,23,22,10,8,0,0,4,5,0.620689655172414,58,36,20,8,8,7,11,15,0.25,0.166666666666667,0.333333333333333,NA,NA,NA
"7","Adrian Mannarino",2017-10-26,"Roger Federer","2017-0328","Basel","Hard",32,"A",2017-10-22,297,103819,"R",185,"SUI",36.2080766598,2,8505,105173,"L",183,"FRA",29.3169062286,28,1580,"4-6 6-1 6-3",3,"QF",103,12,2,0.527777777777778,72,38,32,19,13,2,3,1,1,0.506024096385542,83,42,26,24,13,4,8,28,NA,NA,NA,NA,NA,NA
"8","Adrian Mannarino",2018-01-20,"Dominic Thiem","2018-580","Australian Open","Hard",128,"G",2018-01-14,309,106233,"R",185,"AUT",24.3668720055,5,4060,105173,"L",183,"FRA",29.5468856947,27,1625,"6-4 6-2 7-5",5,"R32",128,9,2,0.597701149425287,87,52,37,21,15,1,3,3,3,0.608695652173913,92,56,30,17,15,6,12,105,NA,NA,NA,NA,NA,NA
"9","Adrian Mannarino",2018-02-28,"Kevin Anderson","2018-M004","Acapulco","Hard",32,"A",2018-02-25,290,104731,"R",203,"RSA",31.7782340862,8,2825,105173,"L",183,"FRA",29.6618754278,24,1715,"6-3 6-4",3,"R16",89,10,5,0.483870967741935,62,30,25,16,10,2,3,2,2,0.622950819672131,61,38,26,9,9,4,7,21,NA,NA,NA,NA,NA,NA
"10","Adrian Mannarino",2018-06-21,"Novak Djokovic","2018-0311","London","Grass",32,"A",2018-06-17,294,104925,"R",188,"SRB",31.0746064339,22,1665,105173,"L",183,"FRA",29.9685147159,26,1535,"7-5 6-1",3,"QF",78,6,2,0.636363636363636,55,35,29,11,10,1,2,4,2,0.634920634920635,63,40,24,9,9,9,13,25,0.188034188034188,0.222222222222222,0.153846153846154,NA,NA,NA
"11","Adrian Mannarino",2018-07-08,"Roger Federer","2018-540","Wimbledon","Grass",128,"G",2018-07-01,212,103819,"R",185,"SUI",36.8980150582,2,8720,105173,"L",183,"FRA",30.006844627,26,1580,"6-0 7-5 6-4",5,"R16",105,13,0,0.671052631578947,76,51,46,13,14,4,4,6,2,0.77,100,77,42,11,14,7,12,113,NA,NA,NA,NA,NA,NA
"12","Adrian Mannarino",2018-08-15,"Novak Djokovic","2018-M024","Cincinnati Masters","Hard",64,"M",2018-08-12,283,104925,"R",188,"SRB",31.227926078,10,3445,105173,"L",183,"FRA",30.12183436,28,1410,"4-6 6-2 6-1",3,"R32",128,5,3,0.526881720430108,93,49,35,22,13,5,7,4,2,0.618421052631579,76,47,29,11,12,3,8,38,0,0,0,NA,NA,NA
