"","Var1","Freq"
"1","angiekerber",235
"2","domithiem",310
"3","elisvitolina",391
"4","johnrisner",31
"5","juanmartindelpotro",66
"6","kandersonatp",329
"7","karolinapliskova",332
"8","keinishikori",152
"9","kikibertens",170
"10","marincilic",190
"11","naomiosaka",381
"12","novakdjokovic",305
"13","petrakvitova",231
"14","rafaelnadal",375
"15","rogerfederer",121
"16","sabalenkaaryna",47
"17","serenawilliams",409
"18","simonahalep",164
"19","sloanestephens",173
"20","stefanostsipas",288
