"","loser_name","match_dat","winner_name","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","W_First Service % ","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","L_First Service % ","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","seq","sentiment_mean.winner","sentiment_twitter.winner","sentiment_instagram.winner","sentiment_mean.loser","sentiment_twitter.loser","sentiment_instagram.loser"
"1","Agnieszka Radwanska",2018-02-14,"Petra Kvitova","2018-1003","Doha","Hard",64,"P",2018-02-11,280,201520,"L",183,"CZE",27.9342915811,21,2187,201474,"R",170,"POL",28.93908282,33,1570,"6-7(3) 6-3 6-4",3,"R32",155,4,8,0.679611650485437,103,70,46,13,16,5,10,2,2,0.575221238938053,113,65,40,19,15,9,16,35,0,0,NA,NA,NA,NA
"2","Agnieszka Radwanska",2018-03-06,"Naomi Osaka","2018-M006","Indian Wells","Hard",128,"PM",2018-03-04,260,211768,"R",NA,"JPN",20.3832991102,44,1170,201474,"R",170,"POL",28.9965776865,32,1525,"6-3 6-2",3,"R64",91,4,3,0.508474576271186,59,30,25,15,9,2,3,1,4,0.559322033898305,59,33,22,8,8,4,8,55,0,0,0,NA,NA,NA
"3","Agnieszka Radwanska",2018-06-28,"Aryna Sabalenka","2018-M016","Eastbourne","Grass",64,"P",2018-06-24,298,214544,"U",NA,"BLR",20.1396303901,45,1145,201474,"R",170,"POL",29.3032169747,31,1396,"6-3 1-6 6-3",3,"SF",115,2,6,0.701030927835051,97,68,38,9,13,10,17,0,0,0.740740740740741,81,60,28,9,12,6,13,45,NA,NA,NA,NA,NA,NA
"4","Agnieszka Radwanska",2018-08-14,"Karolina Pliskova","2018-M024","Cincinnati","Hard",64,"PM",2018-08-12,257,201662,"R",184,"CZE",26.3956194387,8,4395,201474,"R",170,"POL",29.4373716632,38,1306,"6-3 6-3",3,"R64",90,4,5,0.634920634920635,63,40,31,9,9,7,8,2,0,0.575342465753425,73,42,26,14,9,11,15,15,0.666666666666667,0.333333333333333,1,NA,NA,NA
"5","Agnieszka Radwanska",2018-08-19,"Petra Kvitova","2018-0602","New Haven","Hard",32,"P",2018-08-19,274,201520,"L",183,"CZE",28.4517453799,5,4840,201474,"R",170,"POL",29.4565366188,39,1306,"6-1 7-6(3)",3,"R32",88,2,5,0.538461538461538,52,28,23,15,10,0,2,1,5,0.567164179104478,67,38,16,17,9,4,8,4,0.133333333333333,NA,0.133333333333333,NA,NA,NA
"6","Ajla Tomljanovic",2017-05-28,"Kiki Bertens","2017-520","Roland Garros","Clay",128,"G",2017-05-28,111,202428,"R",182,"NED",25.4674880219,18,2395,201548,"R",NA,"CRO",24.0602327173,311,144,"4-6 6-1 6-1",3,"R128",91,11,7,0.527777777777778,72,38,32,17,0,1,2,1,6,0.586666666666667,75,44,25,15,0,3,8,12,NA,NA,NA,NA,NA,NA
"7","Ajla Tomljanovic",2018-03-20,"Sloane Stephens","2018-M007","Miami","Hard",128,"PM",2018-03-18,258,201585,"R",170,"USA",24.9965776865,12,2938,201548,"R",NA,"AUS",24.8651608487,90,690,"6-1 6-3",3,"R64",73,4,1,0.69811320754717,53,37,27,3,8,4,7,1,7,0.546875,64,35,17,9,8,7,14,53,0.541666666666667,0.333333333333333,0.75,NA,NA,NA
"8","Ajla Tomljanovic",2018-05-29,"Elina Svitolina","2018-520","Roland Garros","Clay",128,"G",2018-05-27,147,202494,"R",174,"UKR",23.7070499658,4,5505,201548,"R",NA,"AUS",25.0568104038,69,861,"7-5 6-3",3,"R128",89,2,2,0.628571428571429,70,44,25,16,11,3,6,3,5,0.623188405797101,69,43,25,11,10,6,11,48,NA,NA,NA,NA,NA,NA
"9","Ajla Tomljanovic",2018-06-13,"Aryna Sabalenka","2018-M010","s-Hertogenbosch","Grass",32,"I",2018-06-10,289,214544,"U",NA,"BLR",20.1013004791,46,1135,201548,"R",NA,"AUS",25.0951403149,71,861,"3-6 7-6(5) 6-0",3,"R16",111,17,3,0.633333333333333,90,57,44,19,13,10,12,5,7,0.556701030927835,97,54,39,18,14,6,10,20,NA,NA,NA,NA,NA,NA
"10","Ajla Tomljanovic",2018-08-15,"Simona Halep","2018-M024","Cincinnati","Hard",64,"PM",2018-08-12,285,201594,"R",168,"ROU",26.8774811773,1,8061,201548,"R",NA,"AUS",25.2676249144,58,942,"4-6 6-3 6-3",3,"R32",130,2,9,0.511363636363636,88,45,32,19,14,4,9,1,8,0.59,100,59,34,15,14,7,14,40,NA,NA,NA,NA,NA,NA
"11","Ajla Tomljanovic",2018-09-22,"Kiki Bertens","2018-1024","Seoul","Hard",32,"I",2018-09-16,300,202428,"R",182,"NED",26.7707049966,12,3380,201548,"R",NA,"AUS",25.363449692,53,1032,"7-6(2) 4-6 6-2",3,"F",142,11,7,0.552380952380952,105,58,41,18,15,6,12,1,3,0.727272727272727,99,72,40,10,15,4,11,31,NA,NA,NA,NA,NA,NA
"12","Aleksandra Krunic",2017-07-16,"Kiki Bertens","2017-1094","Gstaad","Clay",32,"I",2017-07-16,270,202428,"R",182,"NED",25.6016427105,35,1386,202434,"R",NA,"SRB",24.3394934976,93,652,"6-3 6-1",3,"R32",62,4,2,0.590909090909091,44,26,22,11,8,1,1,0,5,0.462962962962963,54,25,11,16,8,5,9,1,NA,NA,NA,NA,NA,NA
"13","Aleksandra Krunic",2018-04-04,"Kiki Bertens","2018-0804","Charleston","Clay",64,"P",2018-04-01,283,202428,"R",182,"NED",26.3107460643,27,1725,202434,"R",NA,"SRB",25.0485968515,50,1105,"6-4 6-2",3,"R32",93,1,5,0.597014925373134,67,40,26,12,9,5,8,0,2,0.733333333333333,75,55,27,8,9,7,13,38,NA,NA,NA,NA,NA,NA
"14","Aleksandra Krunic",2018-09-26,"Petra Kvitova","2018-1075","Wuhan","Hard",64,"P",2018-09-23,278,201520,"L",183,"CZE",28.5475701574,5,4585,202434,"R",NA,"SRB",25.5277207392,63,950,"6-3 6-4",3,"R32",80,13,4,0.645161290322581,62,40,28,14,10,1,2,1,2,0.618181818181818,55,34,20,12,9,3,6,33,NA,NA,NA,NA,NA,NA
"15","Alexa Guarachi",2017-10-08,"Naomi Osaka","2017-1074","Hong Kong","Hard",32,"I",2017-10-08,271,211768,"R",NA,"JPN",19.9808350445,64,930,203315,"U",NA,"USA",26.893908282,415,87,"7-5 6-4",3,"R32",85,9,3,0.477611940298507,67,32,26,15,11,7,10,1,2,0.615384615384615,65,40,24,8,11,5,10,2,NA,NA,NA,NA,NA,NA
"16","Alexandra Cadantu",2017-04-26,"Elina Svitolina","2017-1027","Istanbul","Clay",32,"I",2017-04-23,293,202494,"R",174,"UKR",22.6146475017,13,3740,202456,"R",170,"ROU",26.9760438056,292,154,"6-3 6-3",3,"R16",90,2,1,0.60377358490566,53,32,22,11,9,2,4,0,2,0.666666666666667,60,40,21,7,9,4,9,24,NA,NA,NA,NA,NA,NA
"17","Aliaksandra Sasnovich",2018-01-05,"Elina Svitolina","2018-M020","Brisbane","Hard",32,"P",2017-12-31,300,202494,"R",174,"UKR",23.3045859001,6,5500,205925,"R",NA,"BLR",23.780971937,88,735,"6-2 6-1",3,"F",65,10,2,0.659090909090909,44,29,25,8,8,0,0,1,4,0.491525423728814,59,29,11,17,7,7,11,29,0,0,0,NA,NA,NA
"18","Aliaksandra Sasnovich",2018-05-30,"Kiki Bertens","2018-520","Roland Garros","Clay",128,"G",2018-05-27,169,202428,"R",182,"NED",26.4640657084,22,2030,205925,"R",NA,"BLR",24.1834360027,55,1065,"6-4 6-2",3,"R64",72,10,1,0.639344262295082,61,39,28,14,9,2,2,1,1,0.679245283018868,53,36,23,9,9,1,4,70,0.0294117647058824,0.0588235294117647,0,NA,NA,NA
"19","Aliaksandra Sasnovich",2018-09-01,"Naomi Osaka","2018-560","US Open","Hard",128,"G",2018-08-26,209,211768,"R",NA,"JPN",20.8624229979,19,2245,205925,"R",NA,"BLR",24.4325804244,33,1425,"6-0 6-0",3,"R32",50,4,0,0.514285714285714,35,18,14,12,6,4,4,0,7,0.424242424242424,33,14,5,3,6,2,8,110,0,NA,0,NA,NA,NA
"20","Aliaksandra Sasnovich",2018-10-03,"Karolina Pliskova","2018-M015","Beijing","Hard",64,"PM",2018-09-30,277,201662,"R",184,"CZE",26.5297741273,7,4345,205925,"R",NA,"BLR",24.5284052019,32,1525,"6-3 6-4",3,"R32",85,6,4,0.573529411764706,68,39,29,12,10,3,5,3,2,0.481481481481481,54,26,16,13,9,4,8,37,0,0,0,NA,NA,NA
"21","Alison Riske",2017-05-25,"Kiki Bertens","2017-1068","Nurnberg","Clay",32,"I",2017-05-21,297,202428,"R",182,"NED",25.4483230664,19,2116,201590,"R",NA,"USA",26.8856947296,36,1355,"6-4 6-3",3,"QF",88,7,2,0.757575757575758,66,50,35,7,10,5,6,2,6,0.666666666666667,66,44,26,9,9,4,7,28,NA,NA,NA,NA,NA,NA
"22","Alison Riske",2017-06-27,"Karolina Pliskova","2017-M016","Eastbourne","Grass",64,"I",2017-06-25,245,201662,"R",184,"CZE",25.2648870637,3,6386,201590,"R",NA,"USA",26.9815195072,46,1215,"6-4 6-3",3,"R32",68,7,6,0.6,60,36,33,10,10,2,2,0,2,0.74468085106383,47,35,26,6,9,1,3,28,NA,NA,NA,NA,NA,NA
"23","Alison Riske",2017-10-01,"Simona Halep","2017-M015","Beijing","Hard",64,"P",2017-10-01,238,201594,"R",168,"ROU",26.0150581793,2,5645,201590,"R",NA,"USA",27.2498288843,53,1110,"6-3 3-6 6-2",3,"R64",132,3,4,0.56989247311828,93,53,36,20,13,7,10,1,8,0.575,80,46,31,11,13,4,9,1,NA,NA,NA,NA,NA,NA
